issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible,cuartil_sjr_ord,h_index,total_docs,total_docs_3y,total_refs,total_citas_3y,docs_citables_3y,citas_por_doc_2y,refs_por_doc,pct_female,fecha_incorporacion,fecha_actualizacion,Last Full Review Date,num_articulos,semanas_pub,ratio_citas_docs,indice_calidad_costo,apc_monto_usd_zscore,sjr_score_zscore,h_index_zscore,semanas_pub_zscore,apc_monto_usd_minmax,sjr_score_minmax,h_index_minmax,semanas_pub_minmax
0124-6542,0717-6996,0124-6542,arquitectura urbanismo arte humanidades c modulo cuc urbanism visual urban,architecture design landscape arts fine,10,5,2838.0,EUR,3065.04,1.08,8065.89,observado,True,0,,,,,,,,,,2023-12-08T12:27:17Z,2023-12-08T12:27:17Z,2023-12-08,1172,20,,0.3148111000884988,2.0618,,,0.0613,0.547,,,0.186
1794-4724,2145-4515,1794-4724,psicologia incluye terapias aprendizaje habla visual otras discapacidades fisicas mentales ciencias sociales a1 q4 avances latinoamericana,clinical psychology philosophy religion,16,4,1828.24,EUR,1974.5,1.08,5196.05,observado,True,1,19,16,89,849,30,85,0.27,53.06,0.7254999999999999,2008-02-26T09:01:23Z,2021-07-21T22:06:32Z,2021-07-21,901,23,0.33707865168539325,0.38946488783207184,0.7481,0.017,1.5288,0.3157,0.3513,0.0774,0.425,0.2209
0121-5256,0123-2576,0121-5256,ciencias salud medicas a2 q4 human,education medical laboratory technology medicine miscellaneous health professions social sciences med biomedical science translational clinical practice,6,16,1569.89,EUR,1695.48,1.08,4461.79,observado,True,1,4,0,62,0,16,50,0.28,0.0,0.0,2026-02-25T15:09:33Z,2026-02-25T15:09:33Z,,60,14,0.25806451612903225,0.3655179463644363,0.412,-0.4581,-0.5873,-0.4474,0.3013,0.0319,0.05,0.1163
1909-2814,1669-2721,1909-2814,ciencias educacion sociales c q social general,sciences philosophy humanities ethics politics psychology religion political science,7,9,2931.6,EUR,3166.13,1.08,8331.92,observado,True,0,,,,,,,,,,2022-07-25T19:45:37Z,2022-09-28T15:38:22Z,2022-09-28,487,48,,0.23842314741267728,2.1835,,,2.4356,0.5651,,,0.5116
0304-3584,2145-7166,0304-3584,otras biologias ciencias biologicas naturales a2 actualidades general,biologicas biochemistry ecology evolution taxonomy genetics biology science,8,8,2648.07,EUR,2859.92,1.08,7526.11,observado,True,0,,,,,,,,,,2018-08-13T23:05:38Z,2026-04-16T12:22:31Z,,345,12,,0.3984587265561824,1.8147,,,-0.617,0.5102,,,0.093
0122-0667,2998-4971,0122-0667,otros temas medicina clinica ciencias medicas salud b medica risaralda human,medicine biomedical science health translational clinical practice,11,7,300.0,EUR,324.0,1.08,852.63,observado,True,0,,,,,,,,,,2026-02-25T15:09:33Z,2026-02-25T15:09:33Z,,60,14,,0.3683749839702793,-1.2401,,,-0.4474,0.0552,,,0.1163
0123-7756,1657-0448,0123-7756,historia arqueologia humanidades c q4 educacion colombiana,dermatology surgery medicine education history,7,5,1116.0,EUR,1205.28,1.08,3171.79,observado,True,1,2,58,123,889,5,91,0.06,15.33,0.5539999999999999,2013-10-01T15:20:22Z,2022-08-22T20:05:54Z,2022-08-22,2943,19,0.04065040650406504,0.3500480901323737,-0.1785,-0.7278,-0.8695,-0.0235,0.2133,0.0061,0.0,0.1744
2216-1473,2357-5239,2216-1473,otras humanidades c ciencias sociales humanas general social,investigium ire psychology sociology anthropology politic science administration history works scholarship learning humanities sciences,8,14,2000.0,EUR,2160.0,1.08,5684.21,observado,True,0,,,,,,,,,,2019-11-29T18:25:04Z,2023-02-24T10:08:19Z,2023-02-24,183,8,,0.4123620514960968,0.9715,,,-0.9562,0.3846,,,0.0465
1692-7273,2145-4507,1692-7273,ciencias salud medicas a2 q3 q4 general,health professions miscellaneous occupational therapy physical sports rehabilitation public environmental speech hearing medicine medical sciences,7,15,2000.0,EUR,2160.0,1.08,5684.21,observado,True,2,6,46,89,1864,64,83,0.85,40.52,0.49439999999999995,2008-06-17T14:29:21Z,2021-02-23T10:48:17Z,2021-02-23,844,35,0.7191011235955056,0.37002593730522093,0.9715,0.428,-0.3052,1.3333,0.3846,0.1167,0.1,0.3605
0120-0135,2256-2273,0120-0135,agronomia agricultura silvicultura pesca ciencias agricolas b q3 q4 general,health professions miscellaneous occupational therapy physical sports rehabilitation public environmental speech hearing medicine agriculture environment sciences,10,16,2000.0,EUR,2160.0,1.08,5684.21,observado,True,2,6,46,89,1864,64,83,0.85,40.52,0.49439999999999995,2017-08-10T18:54:42Z,2026-03-19T07:22:52Z,2025-06-19,285,36,0.7191011235955056,0.3679947465015918,0.9715,0.428,-0.3052,1.4181,0.3846,0.1167,0.1,0.3721
1657-3412,,1657-3412,psicologia ciencias sociales c hispanoamericanos social,culture sciences sociology philosophy psychology religion,6,6,1828.24,EUR,1974.5,1.08,5196.05,observado,True,0,,,,,,,,,,2013-06-23T16:55:04Z,2026-07-16T19:50:45Z,2026-06-08,144,20,,0.33026197353573916,0.7481,,,0.0613,0.3513,,,0.186
2145-6569,2007-7149,2145-6569,psicologia incluye terapias aprendizaje habla visual otras discapacidades fisicas mentales ciencias sociales b social,gepu behavioral sciences clinical psychology occupational educational psychosocial philosophy religion,14,10,370.08,EUR,399.69,1.08,1051.82,observado,True,0,,,,,,,,,,2021-01-11T09:56:14Z,2021-01-11T09:56:14Z,2021-01-11,0,16,,0.3633647838821094,-1.149,,,-0.2778,0.0688,,,0.1395
2145-6151,2145-2946,2145-2946,derecho ciencias sociales c q3 q4 digital administrativo general uniform jurisprudence,law political science relations social sciences administrative contract comparative public,11,10,1096.16,EUR,1183.85,1.08,3115.39,observado,True,2,4,13,52,576,12,50,0.26,44.31,0.3125,2014-05-06T14:30:07Z,2026-04-29T14:39:32Z,2026-04-29,588,20,0.23076923076923078,0.39669309509046075,-0.2043,-0.0472,-0.5873,0.0613,0.2095,0.0713,0.05,0.186
1657-9550,2705-3822,1657-9550,ciencias salud medicas a2 q4 biosalud molecular general,medicine miscellaneous biological biotechnology cell biology medical sciences science,8,9,30000.0,NGN,19.5,0.00065,51.32,declarado,True,1,2,0,1,0,0,1,0.0,0.0,0.0,2024-05-31T21:19:15Z,2024-05-31T21:19:15Z,2024-05-31,0,10,0.0,0.44630879428158826,-1.6069,-0.3682,-0.8695,-0.7866,0.0006,0.0405,0.0,0.0698
2256-3342,1982-5838,2256-3342,ciencias veterinarias agricolas c cultura turismo general,agriculture animal sciences cultur tourism culture leisure geography anthropology recreation manners customs leadership administration services,7,15,263.1,EUR,284.15,1.08,747.76,observado,True,0,,,,,,,,,,2022-08-28T07:16:33Z,2022-08-28T07:16:33Z,2022-08-28,0,24,,0.3496737057388469,-1.2881,,,0.4005,0.0481,,,0.2326
1657-0448,1657-0448,1657-0448,otros temas medicina clinica ciencias medicas salud c q4 asociacion colombiana dermatologia cirugia,dermatology surgery medicine dermatologica dermatologic skin diseases clinical pathology medical,13,10,1339.36,EUR,1446.51,1.08,3806.61,observado,True,1,2,58,123,889,5,91,0.06,15.33,0.5539999999999999,2025-07-24T12:34:38Z,2025-07-24T12:34:38Z,2025-07-24,1503,48,0.04065040650406504,0.28247665993677956,0.1121,-0.7278,-0.8695,2.4356,0.2566,0.0061,0.0,0.5116
2256-1676,2539-519X,2256-1676,otras ciencias sociales c d investigaciones general social,i technology innovation engineering science sciences,8,6,405.79,EUR,438.25,1.08,1153.29,observado,True,0,,,,,,,,,,2018-11-13T17:34:40Z,2026-06-19T14:15:28Z,,527,12,,0.42515612265751057,-1.1025,,,-0.617,0.0757,,,0.093
0123-1154,1991-2773,0123-1154,otras ciencias sociales b ibero latinoamericana seguros rias cultural,american hemispheric transoceanic literary anthropology language literature,9,7,1828.24,EUR,1974.5,1.08,5196.05,observado,True,0,,,,,,,,,,2021-01-12T14:49:39Z,2021-01-12T14:49:38Z,2021-01-12,1,50,,0.25892674873988814,0.7481,,,2.6052,0.3513,,,0.5349
0123-5931,2256-5450,0123-5931,idiomas literatura humanidades a2 q2 teoria historia critica cultural general,literature literary theory arts humanities comparative criticism language,10,8,1116.0,EUR,1205.28,1.08,3171.79,observado,True,3,4,21,79,548,13,65,0.1,26.1,0.3889,2012-12-22T09:20:24Z,2025-03-31T10:09:29Z,2025-03-31,734,13,0.16455696202531644,0.43928462393854184,-0.1785,-0.2013,-0.5873,-0.5322,0.2133,0.0565,0.05,0.1047
2027-1840,1657-0448,2027-1840,ciencias veterinarias agricolas c q4 colombiana ciencia,dermatology surgery medicine animal nutrition physiology livestock farming breeding welfare products agriculture culture,7,13,2244.95,EUR,2424.55,1.08,6380.39,observado,True,1,2,58,123,889,5,91,0.06,15.33,0.5539999999999999,2021-05-06T08:35:05Z,2026-04-27T14:13:16Z,2026-04-27,5563,35,0.04065040650406504,0.2929826719371968,1.2902,-0.7278,-0.8695,1.3333,0.4321,0.0061,0.0,0.3605
2011-5318,2462-8654,2011-5318,educacion general incluye capacitacion pedagogia ciencias sociales c q4 desarrollo social,agronomy crop science economics econometrics geography planning development agricultural biological sciences finance social education teacher training didactics teaching special aspects theory practice,11,22,2676.26,EUR,2890.36,1.08,7606.21,observado,True,1,16,7,28,319,13,28,0.27,45.57,0.2778,2020-08-14T14:13:13Z,2020-08-14T14:13:13Z,2020-08-14,0,8,0.4642857142857143,0.4620170993124225,1.8513,-0.1242,1.1056,-0.9562,0.5156,0.0639,0.35,0.0465
1900-9771,2409-5370,1900-9771,economia negocios ciencias sociales c urban general social,gestion region regional science economics economic geography planning sciences,8,9,104.17,EUR,112.5,1.08,296.05,observado,True,0,,,,,,,,,,2015-05-21T13:50:41Z,2022-12-20T08:08:08Z,2022-12-20,194,10,,0.43179065419252577,-1.4949,,,-0.7866,0.0173,,,0.0698
2215-7190,2145-4493,2215-7190,ciencias politicas sociales c q4 analisis internacional investigacion filosofica general,law social sciences rai philosophy political ethics language epistemology psychology religion speculative theory knowledge,10,14,2258.19,EUR,2438.85,1.08,6418.03,observado,True,1,5,7,35,453,4,16,0.12,64.71,0.5,2019-04-04T22:57:53Z,2019-08-30T10:04:17Z,2019-08-30,0,20,0.11428571428571428,0.34343564037941043,1.3074,-0.5737,-0.4463,0.0613,0.4346,0.0209,0.075,0.186
0122-1213,2389-993X,0122-1213,otras ciencias sociales b prospectiva social general,science intervention thought sciences pathology public welfare criminology,7,8,2838.0,EUR,3065.04,1.08,8065.89,observado,True,0,,,,,,,,,,2017-10-31T16:55:42Z,2024-11-20T07:45:58Z,2024-11-20,609,20,,0.3148111000884988,2.0618,,,0.0613,0.547,,,0.186
0120-5498,2389-8356,0120-5498,ciencias salud medicas b q4 medicina general,education medical laboratory technology medicine miscellaneous health professions social sciences therapeutics care history,7,13,1448.6,EUR,1564.49,1.08,4117.08,observado,True,1,4,0,62,0,16,50,0.28,0.0,0.0,2015-12-07T14:03:21Z,2025-10-23T06:28:20Z,2025-10-23,1329,10,0.25806451612903225,0.4334310885103471,0.2542,-0.4581,-0.5873,-0.7866,0.2778,0.0319,0.05,0.0698
0120-3630,2357-3740,0120-3630,geologia ciencias tierra medioambientales naturales a2 q4,earth planetary sciences miscellaneous geophysics regional geology geomorphology mineralogy petrography science,7,11,2000.0,EUR,2160.0,1.08,5684.21,observado,True,1,4,10,35,298,13,31,0.43,29.8,0.2273,2017-11-16T23:24:20Z,2022-08-17T18:09:46Z,2022-08-17,300,24,0.37142857142857144,0.34148032233461667,0.9715,-0.3554,-0.5873,0.4005,0.3846,0.0418,0.05,0.2326
0120-131X,0123-5095,0120-131X,teologia otras humanidades b q3 cuestiones teologicas filosoficas pastoral doctrinal,philosophy arts humanities theology bible spirituality psychology religion practical,10,9,1300.0,EUR,1404.0,1.08,3694.74,observado,True,2,3,26,60,530,9,52,0.08,20.38,0.35,2019-03-10T18:00:25Z,2019-03-10T18:00:25Z,2019-03-10,876,20,0.15,0.38627953992948116,0.0609,-0.3939,-0.7284,0.0613,0.249,0.0381,0.025,0.186
1692-8156,2011-1703,1692-8156,derecho ciencias sociales a2 q3 q4 colombiana internacional universidad catolica santisima concepcion legal jurisprudence,law political science relations social sciences history public private,14,9,2647.58,EUR,2859.39,1.08,7524.71,observado,True,2,4,13,52,576,12,50,0.26,44.31,0.3125,2024-11-05T07:14:45Z,2024-11-05T07:14:45Z,2024-11-05,126,10,0.23076923076923078,0.4533717772918945,1.814,-0.0472,-0.5873,-0.7866,0.5101,0.0713,0.05,0.0698
0123-4471,2462-9782,0123-4471,antropologia sociologia ciencias sociales b q3 q4 departamento facultad juridicas virajes social,health professions miscellaneous occupational therapy physical sports rehabilitation public environmental speech hearing medicine anthropology sociology ethnography ethnology sciences geography recreation,12,20,2681.0,EUR,2895.48,1.08,7619.68,observado,True,2,6,46,89,1864,64,83,0.85,40.52,0.49439999999999995,2022-03-07T08:39:45Z,2022-03-07T08:39:45Z,2022-03-07,577,48,0.7191011235955056,0.3318403483242542,1.8575,0.428,-0.3052,2.4356,0.5166,0.1167,0.1,0.5116
1909-2407,2215-4744,1909-2407,ciencias salud medicas c historia sanidad costa central general europe doctrinal,line history historiography rican american latin america spanish philosophy psychology religion theology specific doctrines movements heresies schisms,11,17,1116.0,EUR,1205.28,1.08,3171.79,observado,True,0,,,,,,,,,,2019-04-25T00:54:35Z,2022-09-26T12:59:42Z,2022-09-26,731,8,,0.4225750448026122,-0.1785,,,-0.9562,0.2133,,,0.0465
2248-7441,2674-113X,2248-7441,computacion ciencias informacion naturales c q3 q4 antioquena computacionales ingenieria raccis sector,health professions miscellaneous occupational therapy physical sports rehabilitation public environmental speech hearing medicine software requirements security metrics continuous engineering devops systems science mathematics instruments machines electronic computers computer,12,28,1100.87,EUR,1188.94,1.08,3128.79,observado,True,2,6,46,89,1864,64,83,0.85,40.52,0.49439999999999995,2023-03-13T07:07:57Z,2023-03-13T07:07:57Z,2023-03-13,112,6,0.7191011235955056,0.49529579074500446,-0.1982,0.428,-0.3052,-1.1258,0.2104,0.1167,0.1,0.0233
1794-161X,2389-7864,1794-161X,ciencias tierra medioambientales naturales c intropica general,biology environmental sciences agriculture geography anthropology recreation science,7,8,2784.55,EUR,3007.31,1.08,7913.97,observado,True,0,,,,,,,,,,2020-07-30T15:45:13Z,2020-07-30T15:45:13Z,2020-07-30,233,32,,0.28449690303637604,1.9922,,,1.0789,0.5366,,,0.3256
0120-4874,2357-6308,0120-4874,ciencias salud medicas b q4 medicina experimental general,education medical laboratory technology medicine miscellaneous health professions social sciences upb clinical surgery oncology public,8,15,1448.6,EUR,1564.49,1.08,4117.08,observado,True,1,4,0,62,0,16,50,0.28,0.0,0.0,2016-10-25T09:25:34Z,2023-08-14T10:00:55Z,2023-08-14,13014,6,0.25806451612903225,0.43957385127225923,0.2542,-0.4581,-0.5873,-1.1258,0.2778,0.0319,0.05,0.0233
1657-723X,2336-3037,1657-723X,medicina clinica ciencias medicas salud c audiologia hoy scientific general civil,logi transport logistics warehousing handling vehicle sustainability technology engineering transportation,11,10,150.0,EUR,162.0,1.08,426.32,declarado,True,0,,,,,,,,,,2024-04-02T13:46:11Z,2026-07-24T16:43:03Z,2026-07-24,208,12,,0.4283447073487415,-1.4353,,,-0.617,0.0262,,,0.093
0122-9729,1390-8618,0122-9729,sociologia ciencias sociales c tendencias retos administracion economia social as,economy society entrepreneurship innovation creativity marketing public administration sciences commerce business economic theory demography economics science,10,16,238.0,EUR,257.04,1.08,676.42,observado,True,0,,,,,,,,,,2016-03-07T15:28:20Z,2026-02-07T17:40:37Z,2022-12-12,315,12,,0.4272478039917513,-1.3208,,,-0.617,0.0432,,,0.093
2322-9721,2011-6721,2322-9721,estudios generales lenguaje idiomas literatura humanidades c content,latin american language integrated learning laclil bilingualism teacher training education special aspects,8,12,1879.46,EUR,2029.82,1.08,5341.63,observado,True,0,,,,,,,,,,2013-01-06T15:51:41Z,2025-04-02T05:59:45Z,2025-04-02,195,30,,0.30574357376554656,0.8147,,,0.9093,0.3613,,,0.3023
0120-8748,2422-4022,0120-8748,otros temas medicina clinica ciencias medicas salud a2 q4 colombiana central,neurology clinical medicine neurologica basic neurosciences neuropediatrics nervous system neuroepidemiology internal biological psychiatry neuropsychiatry diseases,11,15,4123.71,EUR,4453.61,1.08,11720.03,observado,True,1,3,48,114,1495,39,90,0.26,31.15,0.4694,2023-11-07T08:03:35Z,2023-11-07T08:03:35Z,2023-11-07,1511,12,0.34210526315789475,0.39756460599950433,3.7345,-0.4581,-0.7284,-0.617,0.7961,0.0319,0.025,0.093
1692-5106,2336-3037,1692-5106,ciencias tierra medioambientales naturales c ustasalud odontologia scientific general civil,logi transport logistics warehousing handling vehicle sustainability technology engineering transportation,10,10,150.0,EUR,162.0,1.08,426.32,declarado,True,0,,,,,,,,,,2024-04-02T13:46:11Z,2026-07-24T16:43:03Z,2026-07-24,208,12,,0.4283447073487415,-1.4353,,,-0.617,0.0262,,,0.093
1692-8989,2317-627X,1692-8989,economia negocios ciencias sociales b social labor as,region regional economics agribusiness sciences industries land use economic growth development planning theory demography science,8,15,204.92,EUR,221.31,1.08,582.39,observado,True,0,,,,,,,,,,2015-04-13T15:29:50Z,2020-02-21T02:57:05Z,2015-04-13,421,15,,0.36806509964781964,-1.3638,,,-0.3626,0.0368,,,0.1279
0041-9095,2011-0839,0041-9095,ciencias salud medicas b universitas medica,medicine health,6,2,300.0,EUR,324.0,1.08,852.63,observado,True,0,,,,,,,,,,2019-03-26T03:12:19Z,2019-10-03T23:21:29Z,2019-10-03,614,30,,0.33712660605937883,-1.2401,,,0.9093,0.0552,,,0.3023
0121-2095,2389-7708,0121-2095,radiologia medicina nuclear imagenes clinica ciencias medicas salud c q4 colombiana scientific general civil,nephrology medicine logi transport logistics warehousing handling vehicle sustainability technology engineering transportation,14,12,2533.25,EUR,2735.91,1.08,7199.76,observado,True,1,5,44,122,1381,24,109,0.23,31.39,0.4036,2024-04-02T13:46:11Z,2026-07-24T16:43:03Z,2026-07-24,208,12,0.19672131147540983,0.41581866087939284,1.6653,-0.5095,-0.4463,-0.617,0.4879,0.027,0.075,0.093
2027-9035,2215-4744,2027-9035,historia arqueologia humanidades b q4 2 0 costa central general europe doctrinal,history political science relations arts humanities social sciences historiography rican american latin america spanish philosophy psychology religion theology specific doctrines movements heresies schisms,12,23,1116.0,EUR,1205.28,1.08,3171.79,observado,True,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,2019-04-25T00:54:35Z,2022-09-26T12:59:42Z,2022-09-26,731,8,0.07017543859649122,0.4330724767084365,-0.1785,-0.7791,-0.7284,-0.9562,0.2133,0.0012,0.025,0.0465
0121-747X,2357-5549,0121-747X,otras ciencias naturales c q4 facultad natural general,biophysics computational theory mathematics molecular biology biochemistry genetics computer science statistics sciences biotechnology,8,13,2000.0,EUR,2160.0,1.08,5684.21,observado,True,1,4,14,39,497,10,38,0.21,35.5,0.3667,2017-10-08T18:35:33Z,2022-09-20T07:54:07Z,2022-09-20,156,10,0.2564102564102564,0.42810887957076554,0.9715,-0.4067,-0.5873,-0.7866,0.3846,0.0369,0.05,0.0698
2215-8987,2518-2943,2215-8987,arquitectura urbanismo arte humanidades c urbanism urban cultural,arka architecture planning design heritage history fine arts,8,8,2838.0,EUR,3065.04,1.08,8065.89,observado,True,0,,,,,,,,,,2022-04-27T10:03:03Z,2024-09-03T06:42:17Z,2024-09-03,289,12,,0.3964237536401622,2.0618,,,-0.617,0.547,,,0.093
0123-7047,2382-4603,0123-7047,ciencias cuidado salud servicios administracion hospitales financiamiento medicas b q3 q4,nurse assisting health professions miscellaneous medicine nursing psychology public environmental occupational medunab sciences,11,13,5176.12,EUR,5590.21,1.08,14711.08,observado,True,2,6,8,101,190,18,86,0.04,23.75,0.7,2018-03-13T11:53:27Z,2021-10-29T06:58:55Z,2021-10-29,748,36,0.1782178217821782,0.3089618789147618,5.1036,-0.3682,-0.3052,1.4181,1.0,0.0405,0.1,0.3721
1900-5016,2248-6011,1900-5016,negocios economia ciencias sociales c latinoamericanos administracion social,management administration economy finance business marketing accounting sciences commerce bookkeeping,8,10,1828.24,EUR,1974.5,1.08,5196.05,observado,True,0,,,,,,,,,,2020-05-18T15:18:45Z,2020-05-18T15:18:45Z,2020-05-18,422,12,,0.40776617908279034,0.7481,,,-0.617,0.3513,,,0.093
1657-463X,0719-9856,1657-463X,otras ciencias naturales c cultura cientifica general,philosophy science history technology sociology psychology religion,7,7,895.15,EUR,966.76,1.08,2544.11,observado,True,0,,,,,,,,,,2023-02-22T08:23:34Z,2023-02-22T08:23:34Z,2023-02-22,63,21,,0.3441256258535937,-0.4659,,,0.1461,0.1705,,,0.1977
2216-0965,2223-859X,2216-0965,derecho ciencias sociales c eafit llqnwn criminal jurisprudence,law lmjl ldwly islamic comparative constitutional,8,6,2329.9,EUR,2516.29,1.08,6621.82,observado,True,0,,,,,,,,,,2013-06-13T10:48:57Z,2022-09-21T18:51:56Z,2022-09-21,777,20,,0.3222768705412651,1.4007,,,0.0613,0.4485,,,0.186
2027-1034,2619-3531,2027-1034,ciencias biologicas naturales c bio grafia escritos sobre biologia su ensenanza general,biology science,12,2,808.25,EUR,872.91,1.08,2297.13,observado,True,0,,,,,,,,,,2016-06-10T20:40:35Z,2025-04-07T08:14:17Z,2025-04-07,686,16,,0.35596605737848197,-0.5789,,,-0.2778,0.1537,,,0.1395
0120-677X,2145-5880,0120-677X,ciencias salud medicas b educacion fisica deporte,physical education sport activity sports management leisure recreation special aspects geography anthropology,7,12,416.0,EUR,449.28,1.08,1182.32,observado,True,0,,,,,,,,,,2010-02-23T11:35:54Z,2023-08-28T11:53:10Z,2023-08-28,109,24,,0.3467884777642986,-1.0892,,,0.4005,0.0777,,,0.2326
2665-3303,2346-4712,2346-4712,educacion general incluye capacitacion pedagogia ciencias sociales c gondola ensenanza aprendizaje natural,science education sciences mathematics learning processes special aspects,12,8,2000.0,EUR,2160.0,1.08,5684.21,observado,True,0,,,,,,,,,,2016-06-11T12:20:45Z,2020-10-27T11:08:27Z,2020-10-27,653,24,,0.3179854768265267,0.9715,,,0.4005,0.3846,,,0.2326
0124-308X,2538-9971,0124-308X,ciencias cuidado salud servicios administracion hospitales financiamiento medicas c facultad universidad cauca general,healthcare health sciences clinical public medicine,13,6,2000.0,EUR,2160.0,1.08,5684.21,observado,True,0,,,,,,,,,,2017-04-29T20:20:35Z,2020-08-11T11:40:59Z,2020-08-11,709,12,,0.40575507148381984,0.9715,,,-0.617,0.3846,,,0.093
0120-2650,1657-0448,0120-2650,fisica atomica molecular quimica ciencias fisicas naturales b q4 colombiana sic casopis za knjizevnost kulturu knjizevno social general,dermatology surgery medicine i prevodjenje culture literature translation humanities sciences language,18,11,416.0,EUR,449.28,1.08,1182.32,observado,True,1,2,58,123,889,5,91,0.06,15.33,0.5539999999999999,2011-12-03T16:09:38Z,2021-05-14T08:47:41Z,2021-05-14,448,24,0.04065040650406504,0.3523045592838826,-1.0892,-0.7278,-0.8695,0.4005,0.0777,0.0061,0.0,0.2326
2256-1552,2797-0965,2256-1552,matematica ciencias naturales c ib informacion estadistica,basica primary education elementary learning strategies islamic special aspects,7,9,500000.0,IDR,31.5,6.3e-05,82.89,declarado,True,0,,,,,,,,,,2025-05-08T05:33:59Z,2025-05-08T05:33:59Z,2025-05-08,31,16,,0.3691642035018403,-1.5925,,,-0.2778,0.0027,,,0.1395
0123-2576,0123-2576,0123-2576,otras ciencias medicas salud b q4 medicina laboratorio,education medical laboratory technology medicine miscellaneous health professions social sciences clinical pathology,8,12,1448.6,EUR,1564.49,1.08,4117.08,observado,True,1,4,0,62,0,16,50,0.28,0.0,0.0,2022-07-25T06:49:19Z,2022-07-25T06:49:19Z,2022-07-25,0,12,0.25806451612903225,0.4303079371181027,0.2542,-0.4581,-0.5873,-0.617,0.2778,0.0319,0.05,0.093
0120-0380,2227-7390,0120-0380,matematicas puras matematica ciencias naturales b,algebra science mathematics,6,3,237.88,EUR,256.91,1.08,676.08,observado,True,0,,,,,,,,,,2013-07-01T19:31:09Z,2024-04-10T15:26:39Z,2024-04-10,28007,6,,0.43589399722732486,-1.3209,,,-1.1258,0.0432,,,0.0233
0120-8454,2145-9169,0120-8454,filosofia otras humanidades c analisis social general,humanities pedagogy education sciences,7,4,2258.19,EUR,2438.85,1.08,6418.03,observado,True,0,,,,,,,,,,2017-04-23T20:01:48Z,2025-10-06T11:18:52Z,2025-10-06,440,16,,0.3328828549782697,1.3074,,,-0.2778,0.4346,,,0.1395
2665-2056,2145-5333,2145-5333,ciencias salud medicas c q3 q4 ciencia virtual general,health professions miscellaneous occupational therapy physical sports rehabilitation public environmental speech hearing medicine microbiology physiotherapy pharmacy nutrition,9,17,1397.3,EUR,1509.08,1.08,3971.26,observado,True,2,6,46,89,1864,64,83,0.85,40.52,0.49439999999999995,2020-03-26T10:41:41Z,2024-09-13T08:12:10Z,2024-09-13,442,6,0.7191011235955056,0.49201693292284593,0.1874,0.428,-0.3052,-1.1258,0.2678,0.1167,0.1,0.0233
2027-8918,2705-3822,2027-8918,otras biologias ciencias biologicas naturales c biodiversidad molecular general,tropical biological biotechnology cell biology medical sciences medicine science,9,9,2784.55,EUR,3007.31,1.08,7913.97,observado,True,0,,,,,,,,,,2024-05-31T21:19:15Z,2024-05-31T21:19:15Z,2024-05-31,0,10,,0.4004512611166928,1.9922,,,-0.7866,0.5366,,,0.0698
2145-6194,0120-2596,2145-6194,negocios economia ciencias sociales c q4 civilizar empresa social as,management business accounting miscellaneous economics econometrics finance social sciences sociology political science statistics probability uncertainty decision real estate markets economic theory demography,10,22,2908.3,EUR,3140.96,1.08,8265.68,observado,True,1,10,15,67,437,21,66,0.41,29.13,0.2727,2015-11-17T19:51:04Z,2022-12-29T12:53:56Z,2022-12-29,216,25,0.31343283582089554,0.3356558996709357,2.1532,-0.4709,0.2591,0.4853,0.5606,0.0307,0.2,0.2442
0122-9354,2389-8526,0122-9354,ciencias veterinarias agricolas a2 medicina veterinaria,veterinary medicine science animal health agriculture culture,6,7,380.8,EUR,411.26,1.08,1082.26,observado,True,0,,,,,,,,,,2015-05-15T12:00:21Z,2026-07-27T15:50:17Z,2015-05-15,264,16,,0.36318296472318046,-1.135,,,-0.2778,0.0709,,,0.1395
2145-1362,3005-5857,2145-1362,ciencias salud medicas c r s facultad universidad surcolombiana natural social tecnology,f sciences health mathematical logic information agriculture,12,7,1314.0,EUR,1419.12,1.08,3734.53,observado,True,0,,,,,,,,,,2024-10-22T06:38:35Z,2024-10-22T06:38:35Z,2024-10-22,1041,12,,0.41393364286855033,0.0791,,,-0.617,0.2517,,,0.093
0120-8705,0123-2576,0120-8705,ciencias salud medicas a2 q4 ces medicina experimental general,education medical laboratory technology medicine miscellaneous health professions social sciences clinical surgery oncology public,9,14,1448.6,EUR,1564.49,1.08,4117.08,observado,True,1,4,0,62,0,16,50,0.28,0.0,0.0,2016-10-25T09:25:34Z,2023-08-14T10:00:55Z,2023-08-14,13014,6,0.25806451612903225,0.43957385127225923,0.2542,-0.4581,-0.5873,-1.1258,0.2778,0.0319,0.05,0.0233
2011-5415,2810-8175,2011-5415,ciencias veterinarias agricolas b veterinaria zootecnia,veterinary sciences animal health medicine reproduction nutrition agriculture culture,6,9,500.0,EUR,540.0,1.08,1421.05,observado,True,0,,,,,,,,,,2025-05-29T13:38:19Z,2025-05-29T13:38:19Z,2025-05-29,57,12,,0.42398230541352694,-0.9799,,,-0.617,0.094,,,0.093
