issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible,cuartil_sjr_ord,h_index,total_docs,total_docs_3y,total_refs,total_citas_3y,docs_citables_3y,citas_por_doc_2y,refs_por_doc,pct_female,fecha_incorporacion,fecha_actualizacion,Last Full Review Date,num_articulos,semanas_pub,ratio_citas_docs,indice_calidad_costo,apc_monto_usd_zscore,sjr_score_zscore,h_index_zscore,semanas_pub_zscore,apc_monto_usd_minmax,sjr_score_minmax,h_index_minmax,semanas_pub_minmax
1900-4699,2797-0965,1900-4699,otras biologias ciencias biologicas naturales c q3 q4 facultad basicas,health professions miscellaneous occupational therapy physical sports rehabilitation public environmental speech hearing medicine basica primary education elementary learning strategies islamic special aspects,10,22,2000.0,EUR,2160.0,1.08,5684.21,observado,True,2,6,46,89,1864,64,83,0.85,40.52,0.49439999999999995,2025-05-08T05:33:59Z,2025-05-08T05:33:59Z,2025-05-08,31,16,0.7191011235955056,0.4080396580494145,0.9715,0.428,-0.3052,-0.2778,0.3846,0.1167,0.1,0.1395
0124-0021,1852-4222,0124-0021,derecho ciencias sociales c dialogos saberes social,economics accounting taxation management statistics sciences economic theory demography,7,9,243.34,EUR,262.81,1.08,691.61,observado,True,0,,,,,,,,,,2011-03-10T13:13:49Z,2025-01-29T15:53:55Z,2025-01-29,47,34,,0.3304250659170065,-1.3138,,,1.2485,0.0442,,,0.3488
0120-8942,2027-5366,0120-8942,derecho ciencias sociales c q3 q4 dikaion lo justo general uniform jurisprudence,philosophy law arts humanities social sciences comparative,12,7,682.0,EUR,736.56,1.08,1938.32,observado,True,2,4,13,53,483,10,45,0.21,37.15,0.1818,2017-06-05T23:10:41Z,2021-07-17T23:09:55Z,2021-07-17,864,30,0.18867924528301888,0.38182129155539446,-0.7432,-0.3425,-0.5873,0.9093,0.1292,0.043,0.05,0.3023
1909-9746,2248-4728,1909-9746,ingenieria electrica electronica ingenierias informatica tecnologia c algo mas que un estado solido control,vision electronica power electronics robotics automation systems communications engineering telecommunications electrical technology nuclear,14,13,1661.96,EUR,1794.92,1.08,4723.47,observado,True,0,,,,,,,,,,2020-10-20T08:24:41Z,2024-09-02T06:47:09Z,2024-09-02,523,8,,0.41620452277926034,0.5318,,,-0.9562,0.3191,,,0.0465
0120-8462,2500-5375,0120-8462,filosofia otras humanidades c latinoamericana general,political philosophy ethics psychology religion,6,5,1828.24,EUR,1974.5,1.08,5196.05,observado,True,0,,,,,,,,,,2017-04-17T16:02:10Z,2022-03-17T17:52:20Z,2022-03-17,0,12,,0.40776617908279034,0.7481,,,-0.617,0.3513,,,0.093
2782-4799,2027-1557,2027-1557,medios comunicacion social periodismo comunicaciones ciencias sociales c luciernaga virtual,communication networks linguistics sociology language literature philology sciences,10,8,2140.37,EUR,2311.6,1.08,6083.16,observado,True,0,,,,,,,,,,2024-03-18T17:43:10Z,2024-08-09T10:30:01Z,2024-08-09,177,14,,0.33924343260958767,1.1542,,,-0.4474,0.4118,,,0.1163
0123-3769,2500-8684,0123-3769,otras humanidades c perspectiva geografica human general,geography physical geographical information land planning environmental geographic technologies anthropology recreation,7,11,2838.0,EUR,3065.04,1.08,8065.89,observado,True,0,,,,,,,,,,2017-09-18T16:54:04Z,2024-04-26T08:52:59Z,2024-04-26,413,12,,0.3964237536401622,2.0618,,,-0.617,0.547,,,0.093
0123-3475,1909-8758,0123-3475,biotecnologia agricola alimentos ciencias agricolas b q4 colombiana,dermatology surgery medicine bioprospection biotechnology agricultural health bioinformatics technology chemical,8,10,837.19,EUR,904.17,1.08,2379.39,observado,True,1,2,58,123,889,5,91,0.06,15.33,0.5539999999999999,2018-04-28T12:20:35Z,2026-05-16T09:36:44Z,2026-05-16,1104,30,0.04065040650406504,0.33202740329513586,-0.5413,-0.7278,-0.8695,0.9093,0.1593,0.0061,0.0,0.3023
0124-0781,2590-8669,0124-0781,ciencias politicas sociales b q4 reflexion,history political science relations arts humanities social sciences politica politics public policies democracy investigation,6,14,2443.03,EUR,2638.47,1.08,6943.34,observado,True,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,2022-10-26T13:57:25Z,2022-10-26T13:57:25Z,2022-10-26,573,18,0.07017543859649122,0.33778707019244686,1.5479,-0.7791,-0.7284,-0.1083,0.4704,0.0012,0.025,0.1628
0120-7555,2346-206X,0120-7555,negocios economia ciencias sociales c turismo sociedad general,management leisure tourism geography anthropology recreation,8,6,1996.61,EUR,2156.34,1.08,5674.58,observado,True,0,,,,,,,,,,2012-01-04T15:16:37Z,2019-06-18T08:48:00Z,2019-06-18,683,16,,0.336802541112901,0.9671,,,-0.2778,0.3839,,,0.1395
1657-9089,2665-511X,1657-9089,educacion general incluye capacitacion pedagogia ciencias sociales c infancias imagenes human,childhood language learning teaching child rearing development education,11,8,246.1,EUR,265.79,1.08,699.45,observado,True,0,,,,,,,,,,2019-10-11T16:58:29Z,2020-02-05T13:06:18Z,2020-02-05,328,18,,0.3616371638860806,-1.3103,,,-0.1083,0.0448,,,0.1628
0121-117X,2619-6573,0121-117X,economia negocios ciencias sociales c ensayos social as,economy economic history macroeconomy microeconomics econometrics sciences conditions theory demography economics science,8,12,204.92,EUR,221.31,1.08,582.39,observado,True,0,,,,,,,,,,2019-06-06T17:04:56Z,2019-08-30T10:04:25Z,2019-08-30,543,48,,0.30455405365954635,-1.3638,,,2.4356,0.0368,,,0.5116
0123-9392,,0123-9392,otras ciencias medicas salud b,infectio infectious diseases microbiology pharmacology medicine therapeutics internal parasitic,5,9,2675.07,EUR,2889.08,1.08,7602.84,observado,True,0,,,,,,,,,,2018-04-04T08:27:43Z,2022-09-19T11:32:41Z,2022-09-19,831,39,,0.2677939995241027,1.8498,,,1.6724,0.5154,,,0.407
1900-9607,0123-2576,1900-9607,ciencias veterinarias agricolas c q4 ces medicina veterinaria zootecnia experimental general,education medical laboratory technology medicine miscellaneous health professions social sciences clinical surgery oncology public,11,14,1448.6,EUR,1564.49,1.08,4117.08,observado,True,1,4,0,62,0,16,50,0.28,0.0,0.0,2016-10-25T09:25:34Z,2023-08-14T10:00:55Z,2023-08-14,13014,6,0.25806451612903225,0.43957385127225923,0.2542,-0.4581,-0.5873,-1.1258,0.2778,0.0319,0.05,0.0233
2027-2391,2344-7125,2027-2391,ciencias sociales interdisciplinaria otras c kavilando social territorial general,conflict disputes exclusion suppression sciences,9,5,243.59,EUR,263.08,1.08,692.32,observado,True,0,,,,,,,,,,2016-04-22T08:49:59Z,2020-10-13T08:51:38Z,2020-10-13,423,5,,0.43724659726749704,-1.3135,,,-1.2106,0.0443,,,0.0116
0122-8900,2463-0470,0122-8900,economia negocios ciencias sociales b panorama economico social labor,administration economy business sciences industries land use management industrial economic theory demography,9,12,1828.49,EUR,1974.77,1.08,5196.76,observado,True,0,,,,,,,,,,2019-05-13T19:52:47Z,2019-08-30T10:04:25Z,2019-08-30,605,20,,0.33025787046742255,0.7484,,,0.0613,0.3514,,,0.186
0122-2066,2145-8499,0122-2066,historia arqueologia humanidades c anuario fronteras general europe,regional history didactics america latin spanish,8,6,1878.22,EUR,2028.48,1.08,5338.11,observado,True,0,,,,,,,,,,2017-03-22T16:32:34Z,2022-10-19T03:10:45Z,2022-10-19,680,15,,0.34088045972830444,0.8131,,,-0.3626,0.361,,,0.1279
0120-3576,,0120-3576,economia negocios ciencias sociales b coyuntura social as,economica management economics education accounting sciences economic theory demography science,8,10,1828.49,EUR,1974.77,1.08,5196.76,observado,True,0,,,,,,,,,,2015-11-10T13:17:26Z,2018-10-17T07:21:28Z,2018-10-17,239,8,,0.4142999458923853,0.7484,,,-0.9562,0.3514,,,0.0465
2027-7822,1657-0448,2027-7822,medicina clinica ciencias medicas salud c q4 colombiana oral,dermatology surgery medicine odontologica health public collective dentistry epidemiology,9,9,575.0,EUR,621.0,1.08,1634.21,observado,True,1,2,58,123,889,5,91,0.06,15.33,0.5539999999999999,2012-12-22T10:01:49Z,2021-07-28T18:58:15Z,2021-07-28,246,8,0.04065040650406504,0.43421151538080693,-0.8824,-0.7278,-0.8695,-0.9562,0.1085,0.0061,0.0,0.0465
