issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
1909-9762,2705-3822,1909-9762,biotecnologia salud ciencias medicas c,ingenieria biomedica biological biotechnology cell molecular biology medical sciences medicine science general,5,12,1120.14,EUR,1209.75,1.08,3183.55,observado,True
0123-4226,2619-2551,0123-4226,otras ciencias agricolas b u d c actualidad divulgacion cientifica,agriculture science health sciences natural iberoamerican region general medicine biology,10,10,895.15,EUR,966.76,1.08,2544.11,observado,True
1900-9895,0120-1867,1900-9895,educacion general incluye capacitacion pedagogia ciencias sociales c,law q3 political science relations q4 social sciences,8,8,1828.24,EUR,1974.5,1.08,5196.05,observado,True
2011-2106,2358-2820,2011-2106,economia negocios ciencias sociales c caribe,real estate finance markets social sciences economic theory demography economics as science,6,12,204.92,EUR,221.31,1.08,582.39,observado,True
1794-6670,2215-9959,1794-6670,artes plasticas visuales arte humanidades c,music q3 visual arts performing linguistics language q4 humanities social sciences musica artes visuales escenicas jrm culture oral traditions performance books literature general show business,6,25,3170.0,EUR,3423.6,1.08,9009.47,observado,True
1794-6190,2339-3459,1794-6190,geografia fisica ciencias tierra medioambientales naturales b,earth planetary sciences miscellaneous q3 esrj geosciences geophysics geology science,7,10,2400.0,EUR,2592.0,1.08,6821.05,observado,True
0120-0488,1517-4549,0120-0488,zoologia ornitologia entomologia ciencias biologicas comportamiento naturales c,insect science q4 agricultural biological sciences sociology social antrophology political general,8,11,2400.0,EUR,2592.0,1.08,6821.05,observado,True
0123-3068,2215-4744,0123-3068,zoologia ornitologia entomologia ciencias biologicas comportamiento naturales a1 cientifico museo historia natural centro museos history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,museology q2 conservation q3 arts humanities,35,6,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0123-4986,2256-5493,0123-4986,idiomas literatura humanidades c,trabajo social work family human rights policy problems internal migration sciences history conditions reform,4,14,267.75,EUR,289.17,1.08,760.97,observado,True
0120-4157,2590-7379,0120-4157,otras ciencias medicas salud b biomedica instituto nacional,biochemistry genetics molecular biology miscellaneous q3 medicine,8,7,1549.04,EUR,1672.96,1.08,4402.53,observado,True
