issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
2665-2056,2145-5333,2145-5333,ciencias salud medicas c ciencia virtual,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine microbiology physiotherapy pharmacy nutrition,6,19,1397.3,EUR,1509.08,1.08,3971.26,observado,True
2027-8918,2705-3822,2027-8918,otras biologias ciencias biologicas naturales c,biodiversidad tropical biological biotechnology cell molecular biology medical sciences medicine science general,6,12,2784.55,EUR,3007.31,1.08,7913.97,observado,True
2145-6194,0120-2596,2145-6194,negocios management economia ciencias sociales c civilizar empresa,business management accounting miscellaneous q4 economics econometrics finance social sciences sociology political science statistics probability uncertainty decision real estate markets economic theory demography as,8,24,2908.3,EUR,3140.96,1.08,8265.68,observado,True
0122-9354,2389-8526,0122-9354,ciencias veterinarias agricolas a2,veterinary medicine science animal health,4,5,380.8,EUR,411.26,1.08,1082.26,observado,True
0123-7810,1553-3069,0123-7810,odontologia cirugia oral medicina clinica ciencias medicas salud c,odontos odontologia integral transdisciplinary social change development approaches sciences general,9,10,,,,,,,False
2145-1362,3005-5857,2145-1362,ciencias salud medicas c r f s facultad universidad surcolombiana,natural sciences social health mathematical logic information tecnology agriculture,10,9,1314.0,EUR,1419.12,1.08,3734.53,observado,True
2027-291X,2737-6338,2027-291X,otras ingenierias tecnologias ingenieria tecnologia c,food biotechnology industry agrofood science technology chemical processing manufacture,6,9,,,,,,,False
2145-969X,2215-7794,2145-969X,economia negocios ciencias sociales c,sinapsis ap online public archaeology cultural heritage popular culture archaeological theory auxiliary sciences history,5,14,,,,,,,False
0120-8705,0123-2576,0120-8705,ciencias salud medicas a2,education q4 medical laboratory technology medicine miscellaneous health professions social sciences ces medicina experimental clinical surgery oncology public general,4,19,1448.6,EUR,1564.49,1.08,4117.08,observado,True
2011-5415,2810-8175,2011-5415,ciencias veterinarias agricolas b,veterinary sciences animal health medicine reproduction nutrition,4,7,500.0,EUR,540.0,1.08,1421.05,observado,True
2215-8405,2619-1822,2215-8405,ciencias tierra medioambientales naturales c teuken bidikay latinoamericana investigacion organizaciones ambiente sociedad organizations accounting management environmental society latin america,social sciences commerce general,19,4,1702.2,EUR,1838.38,1.08,4837.84,observado,True
1909-9843,2659-5885,1909-9843,otras humanidades c,general works history scholarship learning humanities,3,6,,,,,,,False
1657-1959,2346-2116,1657-1959,otras ciencias sociales b,law general comparative uniform jurisprudence,4,5,,,,,,,False
0124-3551,1970-7452,0124-3551,economia negocios ciencias sociales c,,5,0,,,,,,,False
1657-8236,2580-5649,1657-8236,ciencias computacion informacion naturales b,design technology engineering general civil,5,5,2640.0,EUR,2851.2,1.08,7503.16,observado,True
1692-1879,1657-0448,1692-1879,medicina clinica ciencias medicas salud b,dermatology q4 surgery medicine,6,4,,,,,,,False
0120-0542,1697-9745,0120-0542,oceanografia hidrologia recursos agua ciencias tierra medioambientales naturales b cientifico cioh education training educational special aspects theory practice,,18,0,,,,,,,False
