issn_normalizado,score_tfidf,score_scibert,score_tematico,apc_monto_usd,apc_tipo,cuartil_sjr_ord,h_index,indice_calidad_costo
1657-5946,0.44230276956764575,0.89060986,0.6664563149939364,3140.96,observado,1,16.0,0.09
2011-5318,0.42974948071860347,0.8627649,0.6462571878404572,2890.36,observado,1,16.0,0.0966
1692-7427,0.30003652263525116,0.84993625,0.5749863847535996,2827.44,observado,1,16.0,0.0984
2346-1691,0.3235548361587798,0.81326413,0.5684094838524001,2838.9,observado,0,,0.0645
0122-8102,0.2782888954577376,0.82026595,0.549277422115084,2838.9,observado,2,5.0,0.0703
