Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
18;5600155076;"Revista de Estudios Sociales";journal;"19005180, 0123885X";"Universidad de los Andes, Colombia";Yes;Yes;0,279;Q1;22;36;95;1913;101;95;1,00;53,14;38,46;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"2007, 2009-2026";"Cultural Studies (Q1); History (Q1); Arts and Humanities (miscellaneous) (Q2); Gender Studies (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
19;77291;"Biomedica";journal;"01204157, 25907379";"Instituto Nacional de Salud";Yes;Yes;0,271;Q3;37;84;277;2297;240;258;0,76;27,35;51,45;0;Colombia;Latin America;"Instituto Nacional de Salud";"2001-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
20;21100258403;"Mutatis Mutandis";journal;"2011799X";"Universidad de Antioquia";Yes;Yes;0,270;Q2;9;28;82;1481;35;75;0,36;52,89;70,45;0;Colombia;Latin America;"Universidad de Antioquia";"2013-2025";"Linguistics and Language (Q2)";"Social Sciences"
21;21100200415;"Revista Colombiana de Psicologia";journal;"23448644, 01215469";"Universidad Nacional de Colombia";Yes;Yes;0,268;Q3;16;18;37;991;28;37;0,70;55,06;53,62;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2011-2025";"Psychology (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)";"Psychology; Social Sciences"
22;19700188499;"Suma Psicologica";journal;"21459797, 01214381";"Konrad Lorenz Editores";Yes;Yes;0,248;Q3;20;11;48;617;39;48;0,63;56,09;50,00;0;Colombia;Latin America;"Konrad Lorenz Editores";"2010-2025";"Psychology (miscellaneous) (Q3)";"Psychology"
23;19900193899;"Aquichan";journal;"16575997, 20275374";"Universidad de La Sabana";Yes;Yes;0,247;Q2;16;23;96;887;75;84;0,58;38,57;73,24;0;Colombia;Latin America;"Universidad de La Sabana";"2010-2025";"Nurse Assisting (Q2); Critical Care Nursing (Q3); Research and Theory (Q3); Gerontology (Q4)";"Nursing"
24;7000153282;"Earth Sciences Research Journal";journal;"17946190, 23393459";"Universidad Nacional de Colombia";Yes;Yes;0,247;Q3;26;40;115;2236;108;115;0,97;55,90;25,41;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2007-2025";"Earth and Planetary Sciences (miscellaneous) (Q3)";"Earth and Planetary Sciences"
25;21101089001;"Juridicas CUC";journal;"23897716, 16923030";"Universidad de la Costa";No;No;0,241;Q2;8;21;67;1022;54;64;0,76;48,67;41,86;0;Colombia;Latin America;"Universidad de la Costa";"2019-2025";"Law (Q2)";"Social Sciences"
26;5800169849;"Colombia Internacional";journal;"19006004, 01215612";"Universidad de los Andes, Colombia";Yes;Yes;0,239;Q1;18;20;85;1414;68;85;0,60;70,70;52,94;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"2011-2026";"History (Q1); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
27;5700167217;"Revista de Economia Institucional";journal;"01245996";"Universidad Externado de Colombia";Yes;Yes;0,237;Q3;15;27;73;1101;30;63;0,42;40,78;32,56;0;Colombia;Latin America;"Universidad Externado de Colombia";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q3)";"Economics, Econometrics and Finance"
28;26787;"Boletin de Investigaciones Marinas y Costeras";journal;"25904671, 01229761";"INVEMAR";Yes;Yes;0,236;Q2;18;19;62;919;42;62;0,76;48,37;32,65;0;Colombia;Latin America;"INVEMAR";"1998, 2001-2025";"Conservation (Q2); Museology (Q2); Animal Science and Zoology (Q3); Aquatic Science (Q3); Geography, Planning and Development (Q3); Law (Q3); Management, Monitoring, Policy and Law (Q3); Oceanography (Q3); Water Science and Technology (Q3)";"Agricultural and Biological Sciences; Arts and Humanities; Earth and Planetary Sciences; Environmental Science; Social Sciences"
29;21100244946;"Kepes";journal;"17947111";"Universidad de Caldas";Yes;Yes;0,233;Q1;7;20;91;791;37;85;0,34;39,55;48,72;0;Colombia;Latin America;"Universidad de Caldas";"2011-2025";"Visual Arts and Performing Arts (Q1)";"Arts and Humanities"
30;19700175084;"Revista Colombiana de Estadistica";journal;"01201751, 23898976";"Universidad Nacional de Colombia";Yes;Yes;0,228;Q4;25;37;58;1025;55;53;1,19;27,70;22,35;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2001-2026";"Statistics and Probability (Q4)";"Mathematics"
31;21100215170;"Palabra Clave";journal;"01228285, 2027534X";"Universidad de La Sabana";Yes;Yes;0,220;Q2;18;39;107;1865;82;103;0,67;47,82;56,98;0;Colombia;Latin America;"Universidad de La Sabana";"2012-2026";"Arts and Humanities (miscellaneous) (Q2); Communication (Q3)";"Arts and Humanities; Social Sciences"
32;21100810443;"Ciencia Tecnologia Agropecuaria";journal;"01228706, 25005308";"Corporacion Colombiana de Investigacion Agropecuaria Corpoica";Yes;Yes;0,220;Q3;15;4;139;176;107;139;0,75;44,00;33,33;0;Colombia;Latin America;"Corporacion Colombiana de Investigacion Agropecuaria Corpoica";"2016-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3)";"Agricultural and Biological Sciences"
33;21101152622;"Transactions on Energy Systems and Engineering Applications";journal;"27450120";"Universidad Tecnologica de Bolivar";Yes;Yes;0,220;Q3;7;28;59;968;57;53;1,04;34,57;26,32;0;Colombia;Latin America;"Universidad Tecnologica de Bolivar";"2020-2025";"Electrical and Electronic Engineering (Q3); Energy Engineering and Power Technology (Q4); Energy (miscellaneous) (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Energy; Engineering"
34;28167;"Revista Colombiana de Obstetricia y Ginecologia";journal;"00347434, 24630225";"Federacion Colombiana de Asociaciones de Obstetricia y Ginecologia (FECOLSOG)";Yes;Yes;0,217;Q3;12;33;94;627;44;61;0,45;19,00;45,83;0;Colombia;Latin America;"Federacion Colombiana de Asociaciones de Obstetricia y Ginecologia (FECOLSOG)";"1960, 1962-1971, 1973-1996, 2007-2026";"Obstetrics and Gynecology (Q3)";"Medicine"
35;21100798596;"Revista Facultad Nacional de Agronomia Medellin";journal;"03042847, 22487026";"Universidad Nacional de Colombia";Yes;Yes;0,217;Q3;17;50;136;1398;128;123;1,09;27,96;35,00;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2016-2026";"Agricultural and Biological Sciences (miscellaneous) (Q3); Agronomy and Crop Science (Q3); Animal Science and Zoology (Q3); Food Science (Q3); Forestry (Q3); Horticulture (Q3)";"Agricultural and Biological Sciences"
36;21101021454;"Biota Colombiana";journal;"01245376, 2539200X";"Instituto de investigación de recursos biológicos Alexander von humboldt";Yes;Yes;0,216;Q3;7;20;71;985;45;70;0,49;49,25;39,47;0;Colombia;Latin America;"Instituto de investigación de recursos biológicos Alexander von humboldt";"2019-2025";"Animal Science and Zoology (Q3); Ecology (Q3); Nature and Landscape Conservation (Q3); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)";"Agricultural and Biological Sciences; Environmental Science"
37;21100902945;"Fronteras de la Historia";journal;"25394711, 20274688";"Instituto Colombiano de Antropologia e Historia";Yes;Yes;0,214;Q1;6;28;105;1241;43;102;0,34;44,32;46,67;0;Colombia;Latin America;"Instituto Colombiano de Antropologia e Historia";"2018-2026";"History (Q1)";"Arts and Humanities"
38;19700173003;"Ingenieria e Investigacion";journal;"22488723, 01205609";"Universidad Nacional de Colombia";Yes;Yes;0,214;Q3;22;37;127;1485;130;126;0,93;40,14;20,21;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2009-2025";"Engineering (miscellaneous) (Q3); Building and Construction (Q4)";"Engineering"
39;79866;"Livestock Research for Rural Development";journal;"01213784";"Fundacion CIPAV";Yes;No;0,213;Q4;42;60;266;1738;176;266;0,58;28,97;25,53;0;Colombia;Latin America;"Fundacion CIPAV";"1996-2025";"Animal Science and Zoology (Q4)";"Agricultural and Biological Sciences"
40;21100224444;"Agronomia Colombiana";journal;"23573732, 01209965";"Universidad Nacional de Colombia";Yes;Yes;0,212;Q3;22;34;139;1622;119;132;0,72;47,71;37,89;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2010, 2012-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3); Agronomy and Crop Science (Q3); Forestry (Q3); Horticulture (Q3)";"Agricultural and Biological Sciences"
41;21100815415;"Colombia Forestal";journal;"01200739, 2256201X";"Universidad Distrital Francisco Jose de Caldas";Yes;Yes;0,209;Q3;11;18;44;970;31;44;0,60;53,89;30,65;0;Colombia;Latin America;"Universidad Distrital Francisco Jose de Caldas";"2016-2025";"Forestry (Q3); Nature and Landscape Conservation (Q3); Soil Science (Q4)";"Agricultural and Biological Sciences; Environmental Science"
42;21101163374;"Cuadernos de Linguistica Hispanica";journal;"23461829, 0121053X";"Universidad Pedagogica y Tecnologica de Colombia";Yes;Yes;0,208;Q2;4;21;63;646;23;63;0,40;30,76;36,00;0;Colombia;Latin America;"Universidad Pedagogica y Tecnologica de Colombia";"2019-2025";"Linguistics and Language (Q2)";"Social Sciences"
43;20000195049;"Magis";journal;"20271174, 20271182";"Pontificia Universidad Javeriana";Yes;Yes;0,206;Q3;18;29;80;1251;40;80;0,33;43,14;71,93;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2008-2025";"Education (Q3)";"Social Sciences"
44;21100244898;"Antipoda";journal;"19005407, 20114273";"Universidad de los Andes, Colombia";Yes;Yes;0,205;Q2;12;35;77;1720;36;77;0,58;49,14;40,00;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"2013-2026";"Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2); Cultural Studies (Q2)";"Arts and Humanities; Social Sciences"
45;19700166903;"Universitas Scientiarum";journal;"20271352, 01227483";"Pontificia Universidad Javeriana";Yes;Yes;0,205;Q3;17;39;45;607;41;45;1,00;15,56;42,20;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2009-2025";"Multidisciplinary (Q3)";"Multidisciplinary"
46;19700170481;"Bitacora Urbano Territorial";journal;"01247913, 2027145X";"Universidad Nacional de Colombia";Yes;Yes;0,204;Q2;12;39;152;996;65;144;0,28;25,54;45,00;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2009-2026";"Arts and Humanities (miscellaneous) (Q2); Geography, Planning and Development (Q3); Urban Studies (Q3)";"Arts and Humanities; Social Sciences"
47;21100897732;"Perseitas";journal;"23461780";"Universidad Catolica Luis Amigo";Yes;Yes;0,202;Q2;4;25;58;1120;13;53;0,18;44,80;22,50;0;Colombia;Latin America;"Universidad Catolica Luis Amigo";"2018-2025";"Arts and Humanities (miscellaneous) (Q2)";"Arts and Humanities"
48;21100824861;"Revista Colombiana de Reumatologia";journal;"01218123, 20279000";"Asociacion Colombiana de Reumatologia";Yes;No;0,202;Q3;13;83;238;2216;112;213;0,49;26,70;53,65;0;Colombia;Latin America;"Asociacion Colombiana de Reumatologia";"2009-2026";"Internal Medicine (Q3); Pharmaceutical Science (Q3); Rehabilitation (Q3); Immunology and Allergy (Q4); Rheumatology (Q4)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
49;21100897722;"Cuadernos de Geografia: Revista Colombiana de Geografia";journal;"0121215X, 22565442";"Universidad Nacional de Colombia";Yes;Yes;0,201;Q3;10;43;92;2063;49;86;0,34;47,98;40,40;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2018-2025";"Geography, Planning and Development (Q3); Earth and Planetary Sciences (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
50;19700169972;"Ensayos Sobre Politica Economica";journal;"01204483, 26651327";"Banco de la Republica";Yes;No;0,201;Q3;12;3;5;426;5;4;1,00;142,00;33,33;2;Colombia;Latin America;"Banco de la Republica";"2009-2025";"Political Science and International Relations (Q3); Economics and Econometrics (Q4)";"Economics, Econometrics and Finance; Social Sciences"
