Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
76;21100842860;"Revista Finanzas y Politica Economica";journal;"22486046, 20117663";"Universidad Catolica de Colombia";Yes;Yes;0,173;Q4;10;18;60;888;47;54;0,70;49,33;34,21;0;Colombia;Latin America;"Universidad Catolica de Colombia";"2015-2025";"Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4); Marketing (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
77;21101152724;"Revista de la Facultad de Derecho y Ciencias Politicas";journal;"01203886, 23900016";"Universidad Pontificia Bolivariana";Yes;Yes;0,171;Q3;3;8;71;295;19;71;0,36;36,88;22,22;0;Colombia;Latin America;"Universidad Pontificia Bolivariana";"2019-2025";"Law (Q3)";"Social Sciences"
78;21100332207;"Revista Colombiana de Matematicas";journal;"00347426, 23574100";"Universidad Nacional de Colombia";Yes;Yes;0,171;Q4;10;10;38;212;25;38;0,48;21,20;3,85;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2014-2025";"Mathematics (miscellaneous) (Q4)";"Mathematics"
79;19400157235;"Revista Colombiana de Ciencias Pecuarias";journal;"22562958, 01200690";"Universidad de Antioquia";Yes;No;0,169;Q4;23;29;65;1076;35;62;0,45;37,10;37,68;0;Colombia;Latin America;"Universidad de Antioquia";"2008-2025";"Animal Science and Zoology (Q4); Veterinary (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Veterinary"
80;19200156966;"Revista MVZ Cordoba";journal;"01220268, 19090544";"Biblioteca Universidad de Cordoba";Yes;Yes;0,169;Q4;18;34;144;1086;64;141;0,35;31,94;37,82;0;Colombia;Latin America;"Biblioteca Universidad de Cordoba";"2008-2025";"Animal Science and Zoology (Q4); Aquatic Science (Q4); Veterinary (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Veterinary"
81;21101144405;"Psicogente";journal;"2027212X, 01240137";"Simon Bolivar University (Barranquilla)";Yes;Yes;0,164;Q4;8;18;55;1078;31;55;0,39;59,89;45,00;0;Colombia;Latin America;"Simon Bolivar University (Barranquilla)";"2019-2025";"Applied Psychology (Q4); Experimental and Cognitive Psychology (Q4)";"Psychology"
82;21100812584;"Revista Republicana";journal;"19094450, 22565027";"Corporacion Universitaria Republicana";Yes;No;0,163;Q3;9;18;60;664;13;60;0,23;36,89;21,88;0;Colombia;Latin America;"Corporacion Universitaria Republicana";"2016-2025";"Law (Q3); Sociology and Political Science (Q3)";"Social Sciences"
83;5200152705;"Avances en Psicologia Latinoamericana";journal;"17944724, 21454515";"Fundacion para el Avance de la Psicologia";Yes;Yes;0,163;Q4;19;16;89;849;30;85;0,27;53,06;72,55;0;Colombia;Latin America;"Fundacion para el Avance de la Psicologia";"1983, 2006-2025";"Clinical Psychology (Q4)";"Psychology"
84;21101114008;"Anuario Electronico de Estudios en Comunicacion Social Disertaciones";journal;"18569536";"Universidad del Rosario";Yes;Yes;0,162;Q3;5;24;95;994;46;89;0,35;41,42;57,14;0;Colombia;Latin America;"Universidad del Rosario";"2019-2026";"Communication (Q3); Library and Information Sciences (Q3)";"Social Sciences"
85;21100903449;"Revista de la Academia Colombiana de Ciencias Exactas, Fisicas y Naturales";journal;"23824980, 03703908";"Colombian Academy of Exact, Physical and Natural Sciences";Yes;Yes;0,162;Q3;14;68;248;2269;98;217;0,37;33,37;23,81;0;Colombia;Latin America;"Colombian Academy of Exact, Physical and Natural Sciences";"2016-2025";"History and Philosophy of Science (Q3); Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Earth and Planetary Sciences (miscellaneous) (Q4); Energy (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Arts and Humanities; Biochemistry, Genetics and Molecular Biology; Chemistry; Earth and Planetary Sciences; Energy; Mathematics; Physics and Astronomy"
86;21100903229;"Forma y Funcion";journal;"0120338X, 22565469";"Universidad Nacional de Colombia";Yes;Yes;0,161;Q3;4;19;45;880;22;43;0,39;46,32;54,84;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2019-2025";"Linguistics and Language (Q3)";"Social Sciences"
87;21101210867;"Suma de Negocios";journal;"2215910X, 20275692";"Fundacion Universitaria Konrad Lorenz";Yes;Yes;0,161;Q4;7;17;49;979;46;49;1,21;57,59;28,57;0;Colombia;Latin America;"Fundacion Universitaria Konrad Lorenz";"2020-2026";"Business, Management and Accounting (miscellaneous) (Q4); Marketing (Q4)";"Business, Management and Accounting"
88;21101121920;"Estudios de Derecho";journal;"21456151, 01201867";"Universidad de Antioquia";Yes;Yes;0,158;Q3;4;13;52;576;12;50;0,26;44,31;31,25;0;Colombia;Latin America;"Universidad de Antioquia";"2019-2025";"Law (Q3); Political Science and International Relations (Q4)";"Social Sciences"
89;21100976171;"Colombian Journal of Anesthesiology";journal;"24220248, 22562087";"Sociedad Colombiana de Anestesiologia y Reanimacion";Yes;Yes;0,156;Q4;9;41;113;908;51;96;0,54;22,15;38,46;0;Colombia;Latin America;"Sociedad Colombiana de Anestesiologia y Reanimacion";"2018-2025";"Anesthesiology and Pain Medicine (Q4); Critical Care and Intensive Care Medicine (Q4)";"Medicine"
90;145059;"CTyF - Ciencia, Tecnologia y Futuro";journal;"23824581, 01225383";"Ecopetrol S.A.";Yes;Yes;0,155;Q4;21;0;37;0;24;37;0,52;0,00;0,00;0;Colombia;Latin America;"Ecopetrol S.A.";"1996-2024";"Chemical Engineering (miscellaneous) (Q4); Energy (miscellaneous) (Q4); Engineering (miscellaneous) (Q4); Fuel Technology (Q4); Geology (Q4); Geophysics (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Chemical Engineering; Earth and Planetary Sciences; Energy; Engineering"
91;19400157258;"Salud Uninorte";journal;"20117531, 01205552";"Universidad del Norte";Yes;Yes;0,155;Q4;16;65;207;2210;58;192;0,32;34,00;53,89;0;Colombia;Latin America;"Universidad del Norte";"2002-2003, 2005-2026";"Medicine (miscellaneous) (Q4)";"Medicine"
92;21101186338;"Estudios de Filosofia (Colombia)";journal;"01213628, 2256358X";"Universidad de Antioquia";Yes;Yes;0,154;Q2;5;23;67;754;37;62;0,20;32,78;17,24;0;Colombia;Latin America;"Universidad de Antioquia";"2022-2026";"Philosophy (Q2)";"Arts and Humanities"
93;19700186845;"Ingenieria y Universidad";journal;"01232126, 20112769";"Pontificia Universidad Javeriana";Yes;Yes;0,154;Q4;14;10;40;354;26;38;0,21;35,40;23,81;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2008-2025";"Engineering (miscellaneous) (Q4)";"Engineering"
94;22595;"Revista de Salud Publica";journal;"01240064, 25393596";"Universidad Nacional de Colombia";Yes;No;0,154;Q4;30;28;205;786;46;202;0,21;28,07;51,46;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2003-2025";"Public Health, Environmental and Occupational Health (Q4)";"Medicine"
95;21100940511;"Territorios";journal;"01238418, 22157484";"Universidad del Rosario";Yes;Yes;0,152;Q3;6;29;93;1354;33;87;0,30;46,69;46,15;1;Colombia;Latin America;"Universidad del Rosario";"2019-2025";"Urban Studies (Q3); Geography, Planning and Development (Q4)";"Social Sciences"
96;19500157818;"Cuadernos de Desarrollo Rural";journal;"01221450, 22157727";"Pontificia Universidad Javeriana";Yes;Yes;0,152;Q4;16;7;28;319;13;28;0,27;45,57;27,78;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2008-2025";"Agronomy and Crop Science (Q4); Economics and Econometrics (Q4); Geography, Planning and Development (Q4)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Social Sciences"
97;21101067386;"Revista U.D.C.A Actualidad and Divulgacion Cientifica";journal;"26192551, 01234226";"Universidad de Ciencias Aplicadas y Ambientales U.D.C.A";Yes;Yes;0,152;Q4;8;33;136;1428;66;131;0,36;43,27;39,45;0;Colombia;Latin America;"Universidad de Ciencias Aplicadas y Ambientales U.D.C.A";"2019-2025";"Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4); Geography, Planning and Development (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science; Social Sciences"
98;21100259543;"Anuario Colombiano de Historia Social y de la Cultura";journal;"01202456, 22565647";"Universidad Nacional de Colombia";Yes;Yes;0,151;Q2;11;41;118;1802;24;114;0,20;43,95;35,14;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2013-2025";"Cultural Studies (Q2); History (Q2)";"Arts and Humanities; Social Sciences"
99;21100373236;"Boletin Cientifico del Centro de Museos";journal;"01233068";"Universidad de Caldas";Yes;No;0,151;Q2;11;10;79;512;21;79;0,18;51,20;38,71;0;Colombia;Latin America;"Universidad de Caldas";"2014-2025";"Museology (Q2); Conservation (Q3)";"Arts and Humanities"
100;21101208813;"Ingenieria (Colombia)";journal;"23448393, 0121750X";"Universidad Distrital Francisco Jose de Caldas";Yes;Yes;0,150;Q4;7;26;104;815;61;94;0,61;31,35;20,00;0;Colombia;Latin America;"Universidad Distrital Francisco Jose de Caldas";"2020-2025";"Engineering (miscellaneous) (Q4)";"Engineering"
101;11600153630;"Innovar";journal;"22486968, 01215051";"Universidad Nacional de Colombia";Yes;Yes;0,150;Q4;20;46;133;3058;91;120;0,61;66,48;49,48;1;Colombia;Latin America;"Universidad Nacional de Colombia";"2008-2026";"Accounting (Q4); Marketing (Q4); Public Administration (Q4); Sociology and Political Science (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Social Sciences"
102;21101023184;"Momento";journal;"01214470, 25008013";"Universidad Nacional de Colombia";Yes;Yes;0,149;Q3;5;12;44;381;18;41;0,25;31,75;25,00;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2019-2026";"History and Philosophy of Science (Q3); Electronic, Optical and Magnetic Materials (Q4); Geophysics (Q4); Physical and Theoretical Chemistry (Q4); Physics and Astronomy (miscellaneous) (Q4)";"Arts and Humanities; Chemistry; Earth and Planetary Sciences; Materials Science; Physics and Astronomy"
103;21100812388;"Revista Criminalidad";journal;"17943108, 22565531";"Policia Nacional de Colombia";Yes;Yes;0,149;Q3;9;26;98;1397;38;94;0,30;53,73;27,27;0;Colombia;Latin America;"Policia Nacional de Colombia";"2015-2025";"Arts and Humanities (miscellaneous) (Q3); Law (Q3); Social Psychology (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Psychology; Social Sciences"
104;21101141651;"Revista Guillermo de Ockham";journal;"1794192X, 22563202";"University of San Buenaventura - Cali";Yes;Yes;0,149;Q3;6;20;108;1022;39;98;0,34;51,10;41,03;0;Colombia;Latin America;"University of San Buenaventura - Cali";"2019-2025";"Arts and Humanities (miscellaneous) (Q3); Psychology (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)";"Arts and Humanities; Psychology; Social Sciences"
105;21100944295;"Literatura: Teoria, Historia, Critica";journal;"01235931, 22565450";"Universidad Nacional de Colombia";Yes;Yes;0,146;Q2;4;21;79;548;13;65;0,10;26,10;38,89;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2019-2026";"Literature and Literary Theory (Q2)";"Arts and Humanities"
106;21101060641;"Hacia la Promocion de la Salud";journal;"01217577, 24628425";"Universidad de Caldas";Yes;Yes;0,146;Q3;8;18;85;615;23;75;0,08;34,17;58,33;0;Colombia;Latin America;"Universidad de Caldas";"2019-2025";"Health Professions (miscellaneous) (Q3); Community and Home Care (Q4); Health Policy (Q4); Health (social science) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Health Professions; Medicine; Nursing; Social Sciences"
107;21100891786;"Produccion y Limpia";journal;"23230703, 19090455";"Corporacion Universitaria Lasallista";Yes;Yes;0,146;Q4;6;20;56;640;25;51;0,50;32,00;34,62;0;Colombia;Latin America;"Corporacion Universitaria Lasallista";"2018-2025";"Environmental Science (miscellaneous) (Q4); Management, Monitoring, Policy and Law (Q4)";"Environmental Science"
108;7500153128;"Universitas Psychologica";journal;"16579267, 20112777";"Pontificia Universidad Javeriana";Yes;No;0,146;Q4;37;28;77;1691;32;77;0,21;60,39;44,74;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2007-2026";"Psychology (miscellaneous) (Q4); Social Psychology (Q4)";"Psychology"
109;21101199358;"Poligramas";journal;"25909207";"Universidad del Valle";Yes;Yes;0,145;Q2;2;24;77;469;7;71;0,06;19,54;50,00;0;Colombia;Latin America;"Universidad del Valle";"2019-2026";"Literature and Literary Theory (Q2)";"Arts and Humanities"
110;21101164928;"Innovaciencia";journal;"2346075X";"Universidad de Santander";Yes;Yes;0,144;Q4;5;20;50;743;34;48;0,92;37,15;49,25;0;Colombia;Latin America;"Universidad de Santander";"2019-2026";"Agricultural and Biological Sciences (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Chemistry"
111;21101048270;"Revista Colombiana de Cirugia";journal;"20117582, 26196107";"Asociacion Colombiana de Cirugia";Yes;Yes;0,144;Q4;8;138;253;2825;78;217;0,28;20,47;33,90;0;Colombia;Latin America;"Asociacion Colombiana de Cirugia";"2015, 2019-2026";"Surgery (Q4)";"Medicine"
112;20265;"Revista Facultad de Medicina";journal;"23573848, 01200011";"Universidad Nacional de Colombia";Yes;Yes;0,144;Q4;17;21;145;702;54;122;0,21;33,43;34,41;0;Colombia;Latin America;"Universidad Nacional de Colombia";"1945-1949, 1951-1966, 1972-1974, 2007-2025";"Medicine (miscellaneous) (Q4)";"Medicine"
113;21101216647;"Turismo y Sociedad";journal;"2346206X, 01207555";"Universidad Externado de Colombia";Yes;Yes;0,144;Q4;7;25;91;1351;38;88;0,34;54,04;43,40;0;Colombia;Latin America;"Universidad Externado de Colombia";"2020-2026";"Geography, Planning and Development (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting; Social Sciences"
114;21101128459;"Aibi, Revista de Investigacion Administracion e Ingenierias";journal;"2346030X";"Universidad de Santander";Yes;Yes;0,143;Q4;8;80;151;3604;96;151;0,75;45,05;33,88;0;Colombia;Latin America;"Universidad de Santander";"2019-2026";"Computer Science (miscellaneous) (Q4); Electrical and Electronic Engineering (Q4); Engineering (miscellaneous) (Q4); Industrial and Manufacturing Engineering (Q4)";"Computer Science; Engineering"
115;21101128616;"Apuntes del Cenes";journal;"01203053, 22565779";"Universidad Pedagogica y Tecnologica de Colombia";Yes;Yes;0,142;Q4;5;20;61;922;39;54;0,68;46,10;23,53;0;Colombia;Latin America;"Universidad Pedagogica y Tecnologica de Colombia";"2019-2025";"Economics, Econometrics and Finance (miscellaneous) (Q4)";"Economics, Econometrics and Finance"
116;21100432496;"Revista de Derecho Privado";journal;"01234366, 23462442";"Universidad Externado de Colombia";Yes;Yes;0,142;Q4;9;22;70;1394;14;69;0,27;63,36;52,38;0;Colombia;Latin America;"Universidad Externado de Colombia";"2015-2026";"Law (Q4)";"Social Sciences"
117;21100202735;"Revista Lasallista de Investigacion";journal;"22563938, 17944449";"Corporacion Universitaria Lasallista";Yes;Yes;0,142;Q4;13;42;107;1454;39;103;0,39;34,62;37,23;0;Colombia;Latin America;"Corporacion Universitaria Lasallista";"2011, 2013-2025";"Multidisciplinary (Q4)";"Multidisciplinary"
118;21100447122;"Theologica Xaveriana";journal;"01203649, 2011219X";"Pontificia Universidad Javeriana";Yes;Yes;0,141;Q2;6;11;51;412;5;51;0,12;37,45;18,18;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2015-2026";"Religious Studies (Q2)";"Arts and Humanities"
119;21100934789;"Fuentes el Reventon Energetico";journal;"21458502, 16576527";"Universidad Industrial de Santander";Yes;Yes;0,140;Q4;6;7;49;249;17;44;0,41;35,57;18,18;0;Colombia;Latin America;"Universidad Industrial de Santander";"2019-2025";"Energy (miscellaneous) (Q4); Physical and Theoretical Chemistry (Q4)";"Chemistry; Energy"
120;21100316036;"Signo y Pensamiento";journal;"01204823, 20272731";"Pontificia Universidad Javeriana";Yes;Yes;0,139;Q3;9;14;68;682;13;68;0,14;48,71;56,52;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2014-2025";"Linguistics and Language (Q3); Communication (Q4)";"Social Sciences"
121;21827;"Revista Colombiana de Ciencias Quimico-Farmaceuticas (Colombia)";journal;"00347418, 19096356";"Universidad Nacional de Colombia";Yes;No;0,139;Q4;9;41;173;1884;61;173;0,28;45,95;52,42;0;Colombia;Latin America;"Universidad Nacional de Colombia";"1974, 1980, 2019-2026";"Pharmacology (medical) (Q4); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q4)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
122;21101128566;"Educacion y Humanismo";journal;"26652420, 01242121";"Simon Bolivar University (Barranquilla)";Yes;Yes;0,137;Q3;4;26;69;1274;29;67;0,32;49,00;41,67;0;Colombia;Latin America;"Simon Bolivar University (Barranquilla)";"2022-2026";"Cultural Studies (Q3); History and Philosophy of Science (Q3); Education (Q4); Gender Studies (Q4)";"Arts and Humanities; Social Sciences"
123;12100154811;"Revista Colombiana de Gastroenterologia";journal;"01209957";"Asociacion Colombiana de Gastroenterologia";Yes;Yes;0,137;Q4;15;86;226;1824;65;202;0,25;21,21;33,92;0;Colombia;Latin America;"Asociacion Colombiana de Gastroenterologia";"2008-2025";"Gastroenterology (Q4)";"Medicine"
124;21100371223;"Memorias";journal;"17948886";"Universidad del Norte";Yes;Yes;0,135;Q2;6;18;77;919;18;70;0,24;51,06;51,61;0;Colombia;Latin America;"Universidad del Norte";"2009, 2014-2025";"History (Q2); Archeology (Q3); Archeology (arts and humanities) (Q3)";"Arts and Humanities; Social Sciences"
125;21101062042;"Dikaion";journal;"01208942, 20275366";"Universidad de La Sabana";Yes;Yes;0,135;Q3;4;13;53;483;10;45;0,21;37,15;18,18;0;Colombia;Latin America;"Universidad de La Sabana";"2019-2026";"Philosophy (Q3); Law (Q4)";"Arts and Humanities; Social Sciences"
126;17700156215;"Cuadernos de Administracion";journal;"19007205, 01203592";"Pontificia Universidad Javeriana";Yes;Yes;0,135;Q4;15;5;27;265;16;26;0,44;53,00;58,33;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2008-2025";"Business and International Management (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
127;21101204535;"Boletin de Ciencias de la Tierra";journal;"01203630, 23573740";"Universidad Nacional de Colombia";Yes;Yes;0,134;Q4;4;10;35;298;13;31;0,43;29,80;22,73;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2019-2025";"Earth and Planetary Sciences (miscellaneous) (Q4)";"Earth and Planetary Sciences"
128;21101040207;"Revista Facultad Nacional de Salud Publica";journal;"22563334, 0120386X";"Universidad de Antioquia";Yes;Yes;0,134;Q4;17;31;113;1013;33;97;0,20;32,68;62,07;0;Colombia;Latin America;"Universidad de Antioquia";"2008-2026";"Epidemiology (Q4); Health Information Management (Q4); Health Policy (Q4); Public Health, Environmental and Occupational Health (Q4)";"Health Professions; Medicine"
129;12100157018;"Cuadernos de Economia (Colombia)";journal;"22484337, 01214772";"Universidad Nacional de Colombia";Yes;Yes;0,133;Q3;14;46;82;2124;23;82;0,27;46,17;45,45;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2007-2025";"Arts and Humanities (miscellaneous) (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
130;21101066327;"MedUNAB";journal;"01237047, 23824603";"Universidad Autonoma de Bucaramanga";Yes;Yes;0,133;Q3;6;8;101;190;18;86;0,04;23,75;70,00;0;Colombia;Latin America;"Universidad Autonoma de Bucaramanga";"2019-2025";"Nurse Assisting (Q3); Health Professions (miscellaneous) (Q4); Medicine (miscellaneous) (Q4); Nursing (miscellaneous) (Q4); Psychology (miscellaneous) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Health Professions; Medicine; Nursing; Psychology"
131;21101057637;"Biosalud";journal;"16579550";"Universidad de Caldas";Yes;Yes;0,133;Q4;2;0;1;0;0;1;0,00;0,00;0,00;0;Colombia;Latin America;"Universidad de Caldas";"2019-2020, 2023";"Medicine (miscellaneous) (Q4)";"Medicine"
132;21101183655;"Cuestiones de Filosofia";journal;"23899441, 01235095";"Universidad Pedagogica y Tecnologica de Colombia";Yes;Yes;0,131;Q3;3;26;60;530;9;52;0,08;20,38;35,00;0;Colombia;Latin America;"Universidad Pedagogica y Tecnologica de Colombia";"2019-2026";"Philosophy (Q3)";"Arts and Humanities"
133;21101105025;"Revista de la Facultad de Ciencias";journal;"0121747X, 23575549";"Universidad Nacional de Colombia";Yes;Yes;0,130;Q4;4;14;39;497;10;38;0,21;35,50;36,67;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2019-2026";"Biophysics (Q4); Computational Theory and Mathematics (Q4); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science"
134;19900193218;"Revista Gerencia y Politicas de Salud";journal;"25006177, 16577027";"Pontificia Universidad Javeriana";Yes;Yes;0,130;Q4;12;10;61;477;17;60;0,20;47,70;57,69;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2011-2025";"Health Policy (Q4)";"Medicine"
135;21100842562;"Estudios de Literatura Colombiana";journal;"01234412";"Universidad de Antioquia";Yes;Yes;0,129;Q2;3;26;82;548;12;76;0,19;21,08;41,67;0;Colombia;Latin America;"Universidad de Antioquia";"2017-2026";"Literature and Literary Theory (Q2); Arts and Humanities (miscellaneous) (Q3); History (Q3); Linguistics and Language (Q3); Electrical and Electronic Engineering (Q4)";"Arts and Humanities; Engineering; Social Sciences"
136;21100432208;"Historia Caribe";journal;"23226889, 01228803";"Sello editorial Universidad del Atlantico";Yes;Yes;0,129;Q3;5;20;76;885;8;66;0,10;44,25;37,50;0;Colombia;Latin America;"Sello editorial Universidad del Atlantico";"2015-2025";"History (Q3)";"Arts and Humanities"
137;21101302091;"Opinion Juridica";journal;"22484078";"University of Medellin";Yes;No;0,129;Q4;3;27;93;1170;8;93;0,02;43,33;37,04;0;Colombia;Latin America;"University of Medellin";"2021-2025";"Law (Q4)";"Social Sciences"
138;65755;"Acta Agronomica";journal;"23230118, 01202812";"Universidad Nacional de Colombia";Yes;Yes;0,128;Q4;18;24;119;784;31;119;0,20;32,67;33,33;0;Colombia;Latin America;"Universidad Nacional de Colombia";"1968, 2012-2026";"Agronomy and Crop Science (Q4); Soil Science (Q4)";"Agricultural and Biological Sciences"
139;21101032724;"Modulo Arquitectura CUC";journal;"23897732, 01246542";"Universidad de la Costa";No;No;0,126;Q2;4;16;48;742;13;48;0,24;46,38;41,38;0;Colombia;Latin America;"Universidad de la Costa";"2019-2025";"Visual Arts and Performing Arts (Q2); Arts and Humanities (miscellaneous) (Q3); Architecture (Q4); Urban Studies (Q4)";"Arts and Humanities; Engineering; Social Sciences"
140;21101284801;"Acta Neurologica Colombiana";journal;"24224022";"Colombian Association of Neurology";Yes;No;0,126;Q4;3;48;114;1495;39;90;0,26;31,15;46,94;0;Colombia;Latin America;"Colombian Association of Neurology";"2022-2026";"Neurology (clinical) (Q4)";"Medicine"
141;21101151818;"Medicina y Laboratorio";journal;"25007106, 01232576";"Universidad de Antioquia";Yes;Yes;0,126;Q4;4;0;62;0;16;50;0,28;0,00;0,00;0;Colombia;Latin America;"Universidad de Antioquia";"2020-2023";"Education (Q4); Medical Laboratory Technology (Q4); Medicine (miscellaneous) (Q4)";"Health Professions; Medicine; Social Sciences"
142;21100893272;"Lecturas de Economia";journal;"23230622, 01202596";"Universidad de Antioquia";Yes;Yes;0,125;Q4;10;15;67;437;21;66;0,41;29,13;27,27;0;Colombia;Latin America;"Universidad de Antioquia";"2005-2026";"Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4); Finance (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4); Statistics, Probability and Uncertainty (Q4)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
143;7500153124;"Revista Ciencias de la Salud";journal;"21454507, 16927273";"Universidad del Rosario";Yes;Yes;0,123;Q4;15;38;102;1478;26;95;0,23;38,89;54,29;0;Colombia;Latin America;"Universidad del Rosario";"2007-2025";"Health Policy (Q4); Health (social science) (Q4); Medicine (miscellaneous) (Q4)";"Medicine; Social Sciences"
144;21101075272;"Revista Colombiana de Nefrologia";journal;"25005006, 23897708";"Asociacion Colombiana de Nefrologia e Hipertension Arterial";Yes;Yes;0,122;Q4;5;44;122;1381;24;109;0,23;31,39;40,36;0;Colombia;Latin America;"Asociacion Colombiana de Nefrologia e Hipertension Arterial";"2019-2026";"Nephrology (Q4)";"Medicine"
145;21100893284;"Conservacion Colombiana";journal;"19001592";"Fundacion ProAves Carrera";No;No;0,121;Q4;3;17;29;650;5;29;0,09;38,24;48,84;0;Colombia;Latin America;"Fundacion ProAves Carrera";"2018, 2022-2025";"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4)";"Agricultural and Biological Sciences; Environmental Science"
146;19700173013;"Co-herencia";journal;"17945887";"Universidad EAFIT";Yes;Yes;0,120;Q2;9;13;85;561;17;81;0,16;43,15;6,67;0;Colombia;Latin America;"Universidad EAFIT";"2009-2025";"Literature and Literary Theory (Q2); Visual Arts and Performing Arts (Q2); History (Q3); Music (Q3); Philosophy (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
147;12100154912;"Revista Colombiana de Cardiologia";journal;"23573260, 01205633";"Permanyer Publications";Yes;Yes;0,118;Q4;15;59;262;1265;36;214;0,15;21,44;31,31;0;Colombia;Latin America;"Permanyer Publications";"2008-2025";"Cardiology and Cardiovascular Medicine (Q4)";"Medicine"
148;20600195529;"Revista Colombiana de Sociologia";journal;"0120159X, 22565485";"Universidad Nacional de Colombia";Yes;Yes;0,117;Q3;9;18;78;634;19;74;0,24;35,22;40,00;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2018-2025";"Arts and Humanities (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q4)";"Arts and Humanities; Social Sciences"
149;21100235613;"ACDI Anuario Colombiano de Derecho Internacional";journal;"20271131, 21454493";"Universidad del Rosario";Yes;Yes;0,117;Q4;5;7;35;453;4;16;0,12;64,71;50,00;0;Colombia;Latin America;"Universidad del Rosario";"2012-2025";"Law (Q4)";"Social Sciences"
150;14049;"Iatreia";journal;"01210793";"Universidad de Antioquia";Yes;Yes;0,117;Q4;13;60;184;1995;31;170;0,14;33,25;46,86;0;Colombia;Latin America;"Universidad de Antioquia";"1988-2026";"Medicine (miscellaneous) (Q4)";"Medicine"
151;21101021053;"Revista Colombiana de Computacion";journal;"16572831, 25392115";"Universidad Autonoma de Bucaramanga";Yes;Yes;0,116;Q4;6;0;30;0;7;29;0,10;0,00;0,00;0;Colombia;Latin America;"Universidad Autonoma de Bucaramanga";"2019-2024";"Computer Science (miscellaneous) (Q4)";"Computer Science"
152;14200154740;"Revista Colombiana de Quimica";journal;"01202804";"Universidad Nacional de Colombia";Yes;Yes;0,116;Q4;11;7;48;405;13;48;0,13;57,86;55,00;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2008-2025";"Chemistry (miscellaneous) (Q4)";"Chemistry"
