"TXT_ISSN_P","TXT_ISSN_E","TXT_ISSN_L","NME_REVISTA_IN","NRO_ANO","ID_CLAS_REV","PAIS_REV_IN","REG_REV_IN","DEP_REV_IN","COD_DANE_REV_IN","MUN_REV_IN","ID_AREA_CON","NME_ESPECIALIDAD","NME_AREA","NME_GRAN_AREA","ID_INST_EDIT_1","NME_INST_EDIT_1","TIPO_INS_N1_E1","TIPO_INS_N2_E1","TIPO_INS_N3_E1","TIPO_INS_N4_E1","ID_INST_EDIT_2","NME_INST_EDIT_2","TIPO_INS_N1_E2","TIPO_INS_N2_E2","TIPO_INS_N3_E2","TIPO_INS_N4_E2","ID_INST_EDIT_3","NME_INST_EDIT_3","TIPO_INS_N1_E3","TIPO_INS_N2_E3","TIPO_INS_N3_E3","TIPO_INS_N4_E3","ID_REVISTA_P"
"1692-8563",,"2322-956X","Dimensión Empresarial","2021","B","Colombia","Caribe","Atlántico","08001","Barranquilla","5B04","Negocios y Management","Economía y Negocios","Ciencias Sociales","600","UNIVERSIDAD AUTONOMA DEL CARIBE","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","977"
"0486-6525",,"2539-472X","Revista Colombiana De Antropología","2021","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5D03","Antropología","Sociología","Ciencias Sociales","1,813","INSTITUTO COLOMBIANO DE ANTROPOLOGIA E HISTORIA ICANH","Entidades de Gobierno","Nacional","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","216"
"0034-7418","1909-6356",,"Revista Colombiana De Ciencias Químico Farmacéuticas","2013","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3A05","Farmacología y Farmacia","Medicina Básica","Ciencias Médicas y de la Salud","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","363"
"0120-548X","1900-1649",,"Acta Biológica Colombiana","2012","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","1F11","Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento","Ciencias Biológicas","Ciencias Naturales","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","305"
"0120-9965",,,"Agronomía Colombiana","2008","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","4A06","Agronomía","Agricultura, Silvicultura y Pesca","Ciencias Agrícolas","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","25"
"0120-4688",,,"Praxis Filosófica","2006","C","Colombia","Pacífico","Valle del Cauca","76001","Cali","6E02","Filosofía","Otras Humanidades","Humanidades","512","UNIVERSIDAD DEL VALLE","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","343"
"0120-8748",,,"Acta Neurológica Colombiana","2009","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3B28","Otros Temas de Medicina Clínica","Medicina Clínica","Ciencias Médicas y de la Salud","6,403","ASOCIACION COLOMBIANA DE NEUROCIRUGIA","Otras","Entidades sin ánimo de lucro","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","410"
"1692-7257",,,"Revista Colombiana De Tecnologías De Avanzada","2009","C","Colombia","Centro Oriente","Norte de Santander","54518","Pamplona","2B01","Ingeniería Eléctrica y Electrónica","Ingenierías Eléctrica, Electrónica e Informática","Ingeniería y Tecnología","533","UNIVERSIDAD DE PAMPLONA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","481"
"1657-6357",,,"Sociedad Y Economía","2010","B","Colombia","Pacífico","Valle del Cauca","76001","Cali","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","512","UNIVERSIDAD DEL VALLE","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","345"
"1657-6357",,,"Sociedad Y Economía","2014","A2","Colombia","Pacífico","Valle del Cauca","76001","Cali","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","512","UNIVERSIDAD DEL VALLE","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","345"
