"TXT_ISSN_P","TXT_ISSN_E","TXT_ISSN_L","NME_REVISTA_IN","NRO_ANO","ID_CLAS_REV","PAIS_REV_IN","REG_REV_IN","DEP_REV_IN","COD_DANE_REV_IN","MUN_REV_IN","ID_AREA_CON","NME_ESPECIALIDAD","NME_AREA","NME_GRAN_AREA","ID_INST_EDIT_1","NME_INST_EDIT_1","TIPO_INS_N1_E1","TIPO_INS_N2_E1","TIPO_INS_N3_E1","TIPO_INS_N4_E1","ID_INST_EDIT_2","NME_INST_EDIT_2","TIPO_INS_N1_E2","TIPO_INS_N2_E2","TIPO_INS_N3_E2","TIPO_INS_N4_E2","ID_INST_EDIT_3","NME_INST_EDIT_3","TIPO_INS_N1_E3","TIPO_INS_N2_E3","TIPO_INS_N3_E3","TIPO_INS_N4_E3","ID_REVISTA_P"
"0124-5376",,"2539-200X","Biota Colombiana","2021.0","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","1F16","Otras Biologías","Ciencias Biológicas","Ciencias Naturales","406","INSTITUTO DE INVESTIGACION DE RECURSOS BIOLOGICOS ALEXANDER VON HUMBOLDT","Centros","Centros o institutos de investigación","Público","Autónomo",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","477"
,,"2145-308X","Panorama","2021","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5C","No registra","Ciencias de la Educación","Ciencias Sociales","449","INSTITUCION UNIVERSITARIA POLITECNICO GRANCOLOMBIANO","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,050"
"2027-5137",,"2322-777X","Historia Y Memoria","2021","B","Colombia","Centro Oriente","Boyacá","15001","Tunja","6A","No registra","Historia y Arqueología","Humanidades","930","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","851"
"0120-0739",,"2256-201X","Colombia Forestal","2021","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","4A02","Forestal","Agricultura, Silvicultura y Pesca","Ciencias Agrícolas","968","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","35"
"0122-9761",,,"Boletín De Investigaciones Marinas Y Costeras","2012","A2","Colombia","Caribe","Magdalena","47001","Santa Marta","1E11","Oceanografía, Hidrología y Recursos del Agua","Ciencias de la Tierra y Medioambientales","Ciencias Naturales","88","INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS INVEMAR","Centros","Centros o institutos de investigación","Público","Autónomo",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","176"
"0034-7418","1909-6356",,"Revista Colombiana De Ciencias Químico Farmacéuticas","2005","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3A05","Farmacología y Farmacia","Medicina Básica","Ciencias Médicas y de la Salud","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","363"
"0121-8123",,,"Revista Colombiana De Reumatología","2008","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3B28","Otros Temas de Medicina Clínica","Medicina Clínica","Ciencias Médicas y de la Salud","5,903","ASOCIACION COLOMBIANA DE REUMATOLOGIA","Otras","Entidades sin ánimo de lucro","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,324"
"0120-4688",,,"Praxis Filosófica","2005","C","Colombia","Pacífico","Valle del Cauca","76001","Cali","6E02","Filosofía","Otras Humanidades","Humanidades","512","UNIVERSIDAD DEL VALLE","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","343"
"0123-3432","2145-566X",,"Íkala","2013","A2","Colombia","Eje Cafetero","Antioquia","05001","Medellín","6B06","Lingüística","Idiomas y Literatura","Humanidades","883","UNIVERSIDAD DE ANTIOQUIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","223"
,"1657-9534",,"Colombia Médica","2008","A1","Colombia","Pacífico","Valle del Cauca","76001","Cali","3B27","Medicina General e Interna","Medicina Clínica","Ciencias Médicas y de la Salud","512","UNIVERSIDAD DEL VALLE","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","95"
"0120-5307","2216-0280",,"Investigación Y Educación En Enfermería","2008","A2","Colombia","Eje Cafetero","Antioquia","05001","Medellín","3C03","Enfermería","Ciencias de la Salud","Ciencias Médicas y de la Salud","883","UNIVERSIDAD DE ANTIOQUIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","318"
"0122-9354",,,"Revista De Medicina Veterinaria","2007","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","4C01","Ciencias Veterinarias","Ciencias Veterinarias","Ciencias Agrícolas","688","UNIVERSIDAD DE LA SALLE","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","86"
"0120-8748",,,"Acta Neurológica Colombiana","2008","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3B28","Otros Temas de Medicina Clínica","Medicina Clínica","Ciencias Médicas y de la Salud","6,403","ASOCIACION COLOMBIANA DE NEUROCIRUGIA","Otras","Entidades sin ánimo de lucro","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","410"
"0120-386X","2256-3334",,"Revista Facultad Nacional De Salud Publica","2004","C","Colombia","Eje Cafetero","Antioquia","05001","Medellín","3C05","Salud Pública","Ciencias de la Salud","Ciencias Médicas y de la Salud","883","UNIVERSIDAD DE ANTIOQUIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","64"
"0124-4108","2248-454x",,"Perspectivas En Nutrición Humana","2008","B","Colombia","Eje Cafetero","Antioquia","05001","Medellín","3C04","Nutrición y Dietas","Ciencias de la Salud","Ciencias Médicas y de la Salud","883","UNIVERSIDAD DE ANTIOQUIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","326"
"0123-4676",,,"Fronteras De La Historia","2008","B","No disponible","No disponible","No disponible",,"No disponible","6A01","Historia","Historia y Arqueología","Humanidades","1,813","INSTITUTO COLOMBIANO DE ANTROPOLOGIA E HISTORIA ICANH","Entidades de Gobierno","Nacional","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","214"
"0124-7492",,,"Ingenium","2007","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","2A","No registra","Ingeniería Civil","Ingeniería y Tecnología","497","UNIVERSIDAD DE SAN BUENAVENTURA CALI","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","74"
"0121-4381",,,"Suma Psicológica","2005","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5A02","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)","Psicología","Ciencias Sociales","1,620","FUNDACION UNIVERSITARIA KONRAD LORENZ","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","225"
"0072-0992",,,"Geología Colombiana","2004","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","1E06","Geología","Ciencias de la Tierra y Medioambientales","Ciencias Naturales","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","317"
"0123-417X",,,"Psicología Desde El Caribe","2008","C","Colombia","Caribe","Atlántico","08001","Barranquilla","5A02","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)","Psicología","Ciencias Sociales","484","FUNDACION UNIVERSIDAD DEL NORTE","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","936"
"0123-1154",,,"Revista Ibero- Latinoamericana De Seguros","2010","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","679","PONTIFICIA UNIVERSIDAD JAVERIANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","193"
"0120-5323",,,"Universitas Philosophica","2013","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6E02","Filosofía","Otras Humanidades","Humanidades","679","PONTIFICIA UNIVERSIDAD JAVERIANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","931"
"0124-5996",,,"Revista De Economía Institucional","2006","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5B01","Economía","Economía y Negocios","Ciencias Sociales","686","UNIVERSIDAD EXTERNADO DE COLOMBIA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1"
"0120-0135","2256-2273",,"Revista De Ciencias Agricolas","2012","C","Colombia","Pacífico","Nariño","52001","Pasto","4A06","Agronomía","Agricultura, Silvicultura y Pesca","Ciencias Agrícolas","158","UNIVERSIDAD DE NARINO","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","92"
"0120-0062","2011-3668",,"Ideas Y Valores","2006","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6E01","Otras Humanidades","Otras Humanidades","Humanidades","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","139"
"0121-750X",,,"Ingeniería","2004","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","2K","No registra","Otras Ingenierías y Tecnologías","Ingeniería y Tecnología","968","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","191"
"0120-5609","2248-8723",,"Ingeniería E Investigación","2012","A1","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","2A01","Ingeniería Civil","Ingeniería Civil","Ingeniería y Tecnología","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","314"
"0121-8697",,,"Revista De Derecho","2008","B","Colombia","Caribe","Atlántico","08001","Barranquilla","5E01","Derecho","Derecho","Ciencias Sociales","484","FUNDACION UNIVERSIDAD DEL NORTE","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","272"
"0120-9957",,,"Revista Colombiana De Gastroenterología","2007","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3B19","Gastroenterología y Hepatología","Medicina Clínica","Ciencias Médicas y de la Salud","2,576","SOCIEDAD COLOMBIANA DE GASTROENTEROLOGIA","No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","347"
"1794-1237",,,"Revista Eia","2009","B","Colombia","Eje Cafetero","Antioquia","05266","Envigado","2A01","Ingeniería Civil","Ingeniería Civil","Ingeniería y Tecnología","892","UNIVERSIDAD EIA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","599"
"0034-7450",,,"Revista Colombiana De Psiquiatría","2006","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3B28","Otros Temas de Medicina Clínica","Medicina Clínica","Ciencias Médicas y de la Salud","3,614","ASOCIACION COLOMBIANA DE PSIQUIATRIA","Otras","Entidades sin ánimo de lucro","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","184"
"0120-0283",,,"Boletín De Geología","2016","A2","Colombia","Centro Oriente","Santander","68001","Bucaramanga","1E","No registra","Ciencias de la Tierra y Medioambientales","Ciencias Naturales","615","UNIVERSIDAD INDUSTRIAL DE SANTANDER","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","295"
"0122-8285",,,"Palabra Clave","2008","C","Colombia","Centro Oriente","Cundinamarca","25175","Chía","5H01","Periodismo","Periodismo y Comunicaciones","Ciencias Sociales","740","UNIVERSIDAD DE LA SABANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","125"
"1692-8156","2011-1703",,"International Law : Revista Colombiana De Derecho Internacional","2007","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5E01","Derecho","Derecho","Ciencias Sociales","679","PONTIFICIA UNIVERSIDAD JAVERIANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","498"
"0124-2067",,,"Principia Iuris","2017","C","Colombia","Centro Oriente","Boyacá","15001","Tunja","5E01","Derecho","Derecho","Ciencias Sociales","675","UNIVERSIDAD SANTO TOMAS","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","608"
"0120-4165",,,"Controversia","2005","C","No disponible","No disponible","No disponible",,"No disponible","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","710","FUNDACION CENTRO DE INVESTIGACION Y EDUCACION POPULAR C I N E P","Centros","Centros o institutos de investigación","Privado","No reconocido",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","522"
"1657-2831",,,"Revista Colombiana De Computación","2004","C","Colombia","Centro Oriente","Santander","68001","Bucaramanga","2K","No registra","Otras Ingenierías y Tecnologías","Ingeniería y Tecnología","610","UNIVERSIDAD AUTONOMA DE BUCARAMANGA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","332"
"0120-3630",,,"Boletín De Ciencias De La Tierra","2016","A2","Colombia","Eje Cafetero","Antioquia","05001","Medellín","1E06","Geología","Ciencias de la Tierra y Medioambientales","Ciencias Naturales","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","298"
"1692-7273","2145-4507",,"Revista Ciencias De La Salud","2012","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3C","No registra","Ciencias de la Salud","Ciencias Médicas y de la Salud","666","COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","488"
"0120-4823","2027-2731",,"Signo Y Pensamiento","2008","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5H04","Medios y Comunicación Social","Periodismo y Comunicaciones","Ciencias Sociales","679","PONTIFICIA UNIVERSIDAD JAVERIANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","120"
"0121-2923",,,"Palmas","2006","C","No disponible","No disponible","No disponible",,"No disponible","4A","No registra","Agricultura, Silvicultura y Pesca","Ciencias Agrícolas","698","FEDERACION NACIONAL DE CULTIVADORES DE PALMA DE ACEITE FEDEPALMA","Otras","Entidades sin ánimo de lucro","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","495"
"0123-9155",,,"Acta Colombiana De Psicología","2009","A1","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5A02","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)","Psicología","Ciencias Sociales","705","UNIVERSIDAD CATOLICA DE COLOMBIA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","346"
"0123-921X",,,"Tecnura","2014","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","2K","No registra","Otras Ingenierías y Tecnologías","Ingeniería y Tecnología","968","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","276"
"1692-5106",,,"Revista Ustasalud Odontología","2010","C","Colombia","Centro Oriente","Santander","68001","Bucaramanga","1E","No registra","Ciencias de la Tierra y Medioambientales","Ciencias Naturales","675","UNIVERSIDAD SANTO TOMAS","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","617"
"0123-3475","1909-8758",,"Revista Colombiana De Biotecnología","2006","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","4D01","Biotecnología Agrícola y de Alimentos","Biotecnología Agrícola","Ciencias Agrícolas","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible","16,217","INSTITUTO DE BIOTECNOLOGIA","No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","270"
"0562-5351",,,"Suelos Ecuatoriales","2007","C","Colombia","Pacífico","Cauca","19001","Popayán","4A06","Agronomía","Agricultura, Silvicultura y Pesca","Ciencias Agrícolas","5,466","SOCIEDAD COLOMBIANA DE LA CIENCIA DEL SUELO","Otras","Entidades sin ánimo de lucro","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","681"
"1657-463X",,,"Cultura Científica","2012","C","Colombia","Centro Oriente","Boyacá","15001","Tunja","1G","No registra","Otras Ciencias Naturales","Ciencias Naturales","18","FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","684"
"0122-8102","2346-1691",,"Cuadernos De Literatura","2008","C","No disponible","No disponible","No disponible",,"No disponible","6B04","Teoría Literaria","Idiomas y Literatura","Humanidades","679","PONTIFICIA UNIVERSIDAD JAVERIANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,047"
"0123-7799",,,"Tecno Lógicas","2011","B","Colombia","Eje Cafetero","Antioquia","05001","Medellín","2K02","Otras Ingenierías y Tecnologías","Otras Ingenierías y Tecnologías","Ingeniería y Tecnología","71","INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","605"
"1692-3375",,,"Umbral Científico","2008","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","1G","No registra","Otras Ciencias Naturales","Ciencias Naturales","468","UNIVERSIDAD MANUELA BELTRAN","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","194"
"0123-9155",,,"Acta Colombiana De Psicología","2005","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5A02","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)","Psicología","Ciencias Sociales","705","UNIVERSIDAD CATOLICA DE COLOMBIA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","346"
"1900-8260",,,"Revista De Educación En Ingeniería","2010","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5C","No registra","Ciencias de la Educación","Ciencias Sociales","3,081","ASOCIACION COLOMBIANA DE FACULTADES DE INGENIERIA ACOFI","Otras","Entidades sin ánimo de lucro","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","722"
"0121-5612","1900-6004",,"Colombia Internacional","2012","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5F01","Ciencias Políticas","Ciencias Políticas","Ciencias Sociales","663","UNIVERSIDAD DE LOS ANDES","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","45"
"0121-1617",,,"Historia Crítica","2011","A1","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6A01","Historia","Historia y Arqueología","Humanidades","663","UNIVERSIDAD DE LOS ANDES","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","50"
"0120-0976",,,"Revista Interamericana De Bibliotecología","2012","A2","Colombia","Eje Cafetero","Antioquia","05001","Medellín","6E","No registra","Otras Humanidades","Humanidades","883","UNIVERSIDAD DE ANTIOQUIA","IES","Universidades","Público","No disponible","14,307","ESCUELA INTERAMERICANA DE BIBLIOTECOLOGIA","No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","34"
"1657-0111",,,"Palobra Palabra Que Obra","2012","C","Colombia","Caribe","Bolívar","13001","Cartagena de Indias","5D05","Temas Especiales (Estudios de Género, Temas Sociales, Estudios de la Familia)","Sociología","Ciencias Sociales","521","UNIVERSIDAD DE CARTAGENA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,075"
"0121-4993",,,"Revista De Ingeniería","2013","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","2K02","Otras Ingenierías y Tecnologías","Otras Ingenierías y Tecnologías","Ingeniería y Tecnología","663","UNIVERSIDAD DE LOS ANDES","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","325"
"0123-4072",,,"Lumina","2010","C","Colombia","Eje Cafetero","Caldas","17001","Manizales","5B04","Negocios y Management","Economía y Negocios","Ciencias Sociales","1,641","UNIVERSIDAD DE MANIZALES UMANIZALES","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","687"
"2011-0731",,,"Academia Y Virtualidad","2014","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5C01","Educación General (Incluye Capacitación, Pedagogía)","Ciencias de la Educación","Ciencias Sociales","76","UNIVERSIDAD MILITAR NUEVA GRANADA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","657"
"0123-3769",,,"Perspectiva Geográfica","2012","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6E","No registra","Otras Humanidades","Humanidades","930","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA","IES","Universidades","Público","No disponible","2,547","INSTITUTO GEOGRAFICO AGUSTIN CODAZZI","Entidades de Gobierno","Nacional","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible","97"
"0121-7488","2462-7658",,"Ciencia En Desarrollo","2012","B","Colombia","Centro Oriente","Boyacá","15001","Tunja","1D03","Química Física","Ciencias Químicas","Ciencias Naturales","930","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","339"
"0120-338X",,,"Forma Y Función","2010","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6B06","Lingüística","Idiomas y Literatura","Humanidades","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","460"
"2011-3188",,,"Dearquitectura","2009","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6D07","Arquitectura y Urbanismo","Arte","Humanidades","663","UNIVERSIDAD DE LOS ANDES","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","135"
"0120-7180",,,"Cooperativismo & Desarrollo","2009","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5B04","Negocios y Management","Economía y Negocios","Ciencias Sociales","4,433","CORPORACION CLINICA UNIVERSIDAD COOPERATIVA DE COLOMBIA","Otras","Organizaciones no gubernamentales","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,106"
"1794-6298",,,"Vox Populi- Revista De La Escuela De Finanzas Y Estudios Internacionales De La Fundación Universitaria San Martín (Sede Bogotá)","2012","C","No disponible","No disponible","No disponible",,"No disponible","5B01","Economía","Economía y Negocios","Ciencias Sociales","1,802","FUNDACION UNIVERSITARIA SAN MARTIN","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","205"
"1657-2513","2463 -225",,"Revista Areté","2011","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","2,760","CORPORACION UNIVERSITARIA AMERICANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,013"
"2011-3757",,,"Calle14","2010","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6D01","Artes plásticas y visuales","Arte","Humanidades","968","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","689"
"1657-9763",,,"Apuntes","2009","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6D07","Arquitectura y Urbanismo","Arte","Humanidades","679","PONTIFICIA UNIVERSIDAD JAVERIANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,131"
